"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Interprovincial and intraprovincial migrants, by census metropolitan area and census agglomeration of origin and destination, 2016 boundaries",17100141,,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710014101",1;2;3;4;5;6,"CURRENT - a cube available to the public and that is current",Annual,2016-01-01,2018-01-01,2

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
1,"Geography of origin",,
2,"Geography of destination",,

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
1,"St. John's (CMA), Newfoundland and Labrador",[001],1,,,,
1,"Bay Roberts (CA), Newfoundland and Labrador",[005],2,,,,
1,"Grand Falls-Windsor (CA), Newfoundland and Labrador",[010],3,,,,
1,"Gander (CA), Newfoundland and Labrador",[011],4,,,,
1,"Corner Brook (CA), Newfoundland and Labrador",[015],5,,,,
1,"Area outside census metropolitan areas and census agglomerations, Newfoundland and Labrador",,6,,,,
1,"Charlottetown (CA), Prince Edward Island",[105],7,,,,
1,"Summerside (CA), Prince Edward Island",[110],8,,,,
1,"Area outside census metropolitan areas and census agglomerations, Prince Edward Island",,9,,,,
1,"Halifax (CMA), Nova Scotia",[205],10,,,,
1,"Kentville (CA), Nova Scotia",[210],11,,,,
1,"Truro (CA), Nova Scotia",[215],12,,,,
1,"New Glasgow (CA), Nova Scotia",[220],13,,,,
1,"Cape Breton (CA), Nova Scotia",[225],14,,,,
1,"Area outside census metropolitan areas and census agglomerations, Nova Scotia",,15,,,,
1,"Moncton (CMA), New Brunswick",[305],16,,,,
1,"Saint John (CMA), New Brunswick",[310],17,,,,
1,"Fredericton (CA), New Brunswick",[320],18,,,,
1,"Bathurst (CA), New Brunswick",[328],19,,,,
1,"Miramichi (CA), New Brunswick",[329],20,,,,
1,"Edmundston (CA), New Brunswick",[335],21,,,,
1,"Area outside census metropolitan areas and census agglomerations, New Brunswick",,22,,,,
1,"Campbellton (CA), New Brunswick/Quebec",[330],23,,,,
1,"Campbellton (CA), New Brunswick part, New Brunswick",[13330],24,23,,,
1,"Campbellton (CA), Quebec part, Quebec",[24330],25,23,,,
1,"Matane (CA), Quebec",[403],26,,,,
1,"Rimouski (CA), Quebec",[404],27,,,,
1,"Rivière-du-Loup (CA), Quebec",[405],28,,,,
1,"Baie-Comeau (CA), Quebec",[406],29,,,,
1,"Saguenay (CMA), Quebec",[408],30,,,,
1,"Alma (CA), Quebec",[410],31,,,,
1,"Dolbeau-Mistassini (CA), Quebec",[411],32,,,,
1,"Sept-Îles (CA), Quebec",[412],33,,,,
1,"Québec (CMA), Quebec",[421],34,,,,
1,"Sainte-Marie (CA), Quebec",[423],35,,,,
1,"Saint-Georges (CA), Quebec",[428],36,,,,
1,"Thetford Mines (CA), Quebec",[430],37,,,,
1,"Sherbrooke (CMA), Quebec",[433],38,,,,
1,"Cowansville (CA), Quebec",[437],39,,,,
1,"Victoriaville (CA), Quebec",[440],40,,,,
1,"Trois-Rivières (CMA), Quebec",[442],41,,,,
1,"Shawinigan (CA), Quebec",[444],42,,,,
1,"Drummondville (CA), Quebec",[447],43,,,,
1,"Granby (CA), Quebec",[450],44,,,,
1,"Saint-Hyacinthe (CA), Quebec",[452],45,,,,
1,"Sorel-Tracy (CA), Quebec",[454],46,,,,
1,"Joliette (CA), Quebec",[456],47,,,,
1,"Montréal (CMA), Quebec",[462],48,,,,
1,"Salaberry-de-Valleyfield (CA), Quebec",[465],49,,,,
1,"Lachute (CA), Quebec",[468],50,,,,
1,"Val-d'Or (CA), Quebec",[480],51,,,,
1,"Rouyn-Noranda (CA), Quebec",[485],52,,,,
1,"Area outside census metropolitan areas and census agglomerations, Quebec",,53,,,,
1,"Hawkesbury (CA), Ontario/Quebec",[502],54,,,,
1,"Hawkesbury (CA), Ontario part, Ontario",[35502],55,54,,,
1,"Hawkesbury (CA), Quebec part, Quebec",[24502],56,54,,,
1,"Ottawa - Gatineau (CMA), Ontario/Quebec",[505],57,,,,
1,"Ottawa - Gatineau (CMA), Ontario part, Ontario",[35505],58,57,,,
1,"Ottawa - Gatineau (CMA), Quebec part, Quebec",[24505],59,57,,,
1,"Cornwall (CA), Ontario",[501],60,,,,
1,"Arnprior (CA), Ontario",[507],61,,,,
1,"Carleton Place (CA), Ontario",[509],62,,,,
1,"Brockville (CA), Ontario",[512],63,,,,
1,"Pembroke (CA), Ontario",[515],64,,,,
1,"Petawawa (CA), Ontario",[516],65,,,,
1,"Kingston (CMA), Ontario",[521],66,,,,
1,"Belleville (CMA), Ontario",[522],67,,,,
1,"Cobourg (CA), Ontario",[527],68,,,,
1,"Port Hope (CA), Ontario",[528],69,,,,
1,"Peterborough (CMA), Ontario",[529],70,,,,
1,"Kawartha Lakes (CA), Ontario",[530],71,,,,
1,"Centre Wellington (CA), Ontario",[531],72,,,,
1,"Oshawa (CMA), Ontario",[532],73,,,,
1,"Ingersoll (CA), Ontario",[533],74,,,,
1,"Toronto (CMA), Ontario",[535],75,,,,
1,"Hamilton (CMA), Ontario",[537],76,,,,
1,"St. Catharines - Niagara (CMA), Ontario",[539],77,,,,
1,"Kitchener - Cambridge - Waterloo (CMA), Ontario",[541],78,,,,
1,"Brantford (CMA), Ontario",[543],79,,,,
1,"Woodstock (CA), Ontario",[544],80,,,,
1,"Tillsonburg (CA), Ontario",[546],81,,,,
1,"Norfolk (CA), Ontario",[547],82,,,,
1,"Guelph (CMA), Ontario",[550],83,,,,
1,"Stratford (CA), Ontario",[553],84,,,,
1,"London (CMA), Ontario",[555],85,,,,
1,"Chatham-Kent (CA), Ontario",[556],86,,,,
1,"Leamington (CA), Ontario",[557],87,,,,
1,"Windsor (CMA), Ontario",[559],88,,,,
1,"Sarnia (CA), Ontario",[562],89,,,,
1,"Wasaga Beach (CA), Ontario",[565],90,,,,
1,"Owen Sound (CA), Ontario",[566],91,,,,
1,"Collingwood (CA), Ontario",[567],92,,,,
1,"Barrie (CMA), Ontario",[568],93,,,,
1,"Orillia (CA), Ontario",[569],94,,,,
1,"Midland (CA), Ontario",[571],95,,,,
1,"North Bay (CA), Ontario",[575],96,,,,
1,"Greater Sudbury (CMA), Ontario",[580],97,,,,
1,"Elliot Lake (CA), Ontario",[582],98,,,,
1,"Timmins (CA), Ontario",[586],99,,,,
1,"Sault Ste. Marie (CA), Ontario",[590],100,,,,
1,"Thunder Bay (CMA), Ontario",[595],101,,,,
1,"Kenora (CA), Ontario",[598],102,,,,
1,"Area outside census metropolitan areas and census agglomerations, Ontario",,103,,,,
1,"Winnipeg (CMA), Manitoba",[602],104,,,,
1,"Winkler (CA), Manitoba",[603],105,,,,
1,"Steinbach (CA), Manitoba",[605],106,,,,
1,"Portage la Prairie (CA), Manitoba",[607],107,,,,
1,"Brandon (CA), Manitoba",[610],108,,,,
1,"Thompson (CA), Manitoba",[640],109,,,,
1,"Area outside census metropolitan areas and census agglomerations, Manitoba",,110,,,,
1,"Regina (CMA), Saskatchewan",[705],111,,,,
1,"Yorkton (CA), Saskatchewan",[710],112,,,,
1,"Moose Jaw (CA), Saskatchewan",[715],113,,,,
1,"Swift Current (CA), Saskatchewan",[720],114,,,,
1,"Saskatoon (CMA), Saskatchewan",[725],115,,,,
1,"North Battleford (CA), Saskatchewan",[735],116,,,,
1,"Prince Albert (CA), Saskatchewan",[745],117,,,,
1,"Estevan (CA), Saskatchewan",[750],118,,,,
1,"Weyburn (CA), Saskatchewan",[755],119,,,,
1,"Area outside census metropolitan areas and census agglomerations, Saskatchewan",,120,,,,
1,"Lloydminster (CA), Alberta/Saskatchewan",[840],121,,,,
1,"Lloydminster (CA), Alberta part, Alberta",[48840],122,121,,,
1,"Lloydminster (CA), Saskatchewan part, Saskatchewan",[47840],123,121,,,
1,"Medicine Hat (CA), Alberta",[805],124,,,,
1,"Brooks (CA), Alberta",[806],125,,,,
1,"Lethbridge (CMA), Alberta",[810],126,,,,
1,"Okotoks (CA), Alberta",[820],127,,,,
1,"High River (CA), Alberta",[821],128,,,,
1,"Calgary (CMA), Alberta",[825],129,,,,
1,"Strathmore (CA), Alberta",[826],130,,,,
1,"Canmore (CA), Alberta",[828],131,,,,
1,"Red Deer (CA), Alberta",[830],132,,,,
1,"Sylvan Lake (CA), Alberta",[831],133,,,,
1,"Lacombe (CA), Alberta",[832],134,,,,
1,"Camrose (CA), Alberta",[833],135,,,,
1,"Edmonton (CMA), Alberta",[835],136,,,,
1,"Cold Lake (CA), Alberta",[845],137,,,,
1,"Grande Prairie (CA), Alberta",[850],138,,,,
1,"Wood Buffalo (CA), Alberta",[860],139,,,,
1,"Wetaskiwin (CA), Alberta",[865],140,,,,
1,"Area outside census metropolitan areas and census agglomerations, Alberta",,141,,,,
