Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,100,245800,264300,215800,302100,207200,188800
Feb 2005,100.4,100.3,100.2,100.3,100.5,100.5,246700,265100,216300,302900,208200,189800
Mar 2005,100.7,100.7,100.7,100.8,100.7,100.6,247500,266100,217300,304400,208600,189900
Apr 2005,100.9,100.9,101,101,101,100.8,248100,266800,218000,305200,209200,190400
May 2005,101.1,101.1,101.3,101.1,101.2,101,248600,267300,218700,305500,209700,190700
Jun 2005,101.6,101.6,101.7,101.6,101.5,101.8,249800,268400,219400,306800,210300,192200
Jul 2005,102.4,102.2,102.6,102.3,102.3,102.8,251700,270200,221400,308900,211900,194000
Aug 2005,103.2,103.1,103.6,102.8,103.1,103.2,253700,272600,223500,310700,213700,194900
Sep 2005,104.1,104.1,104.7,103.6,104.2,104.2,256000,275100,225900,313000,215800,196700
Oct 2005,105.2,105.2,105.8,104.7,105.1,105.5,258700,278100,228400,316400,217700,199100
Nov 2005,106.4,106.3,107.1,105.8,106.3,106.7,261600,281000,231200,319500,220200,201400
Dec 2005,107.6,107.5,108.4,106.7,107.4,108.2,264500,284100,234000,322400,222500,204200
Jan 2006,108.9,108.6,109.6,107.9,108.9,109.6,267700,287100,236500,326000,225600,206900
Feb 2006,110.1,109.8,111.1,108.8,110.3,111,270700,290300,239800,328700,228600,209500
Mar 2006,111.4,111.2,112.4,110.2,111.9,112.2,273900,293800,242600,333000,231800,211800
Apr 2006,112.9,112.5,113.8,111.4,113.7,113.6,277400,297300,245600,336600,235600,214500
May 2006,114.3,113.9,115.5,112.6,115.6,115.3,281000,301100,249300,340100,239600,217600
Jun 2006,115.7,115.2,117.3,113.4,117.9,116.8,284500,304500,253200,342700,244300,220500
Jul 2006,117.1,116.4,118.7,114.5,119.8,118.5,287800,307700,256200,345800,248300,223800
Aug 2006,118.4,117.5,120.1,115.4,121.7,120.3,291000,310500,259100,348600,252200,227100
Sep 2006,119.7,118.4,121.2,116.2,123.4,122.2,294100,313000,261600,351100,255700,230700
Oct 2006,120.6,119.3,122.3,116.9,125.1,123.1,296500,315400,264000,353200,259300,232400
Nov 2006,121.6,120.2,123.6,117.6,126.5,124.3,298900,317800,266700,355200,262200,234700
Dec 2006,122.8,121.5,125.3,118.4,128.1,125.3,301800,321000,270400,357600,265500,236600
Jan 2007,124.1,122.7,126.6,119.5,129.3,127,305100,324300,273300,361000,267900,239800
