Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,100,212200,213600,207400,215600,161500,216900
Feb 2005,100,100,99.7,100.2,100.3,100.2,212200,213600,206700,216000,162000,217400
Mar 2005,100.6,100.6,100.5,101,100.7,100.3,213500,214900,208400,217700,162600,217600
Apr 2005,100.6,100.7,102.7,100,101.1,100.5,213500,215000,213000,215500,163200,218000
May 2005,101.3,101.2,103.7,100.3,101.5,100.7,214900,216100,215100,216300,164000,218500
Jun 2005,102,102.1,104.3,101.6,101.9,100.9,216500,218000,216300,219000,164600,218900
Jul 2005,103.2,103.3,104.5,102.8,102.2,101,219000,220600,216800,221700,165000,219100
Aug 2005,102.1,102,103.4,101.6,102.5,101.2,216600,217900,214400,219000,165500,219500
Sep 2005,102.8,102.7,104.8,102.1,102.7,101.4,218100,219400,217400,220200,165900,220000
Oct 2005,103.2,103.2,105.4,102.6,103,101.5,219000,220400,218700,221300,166400,220200
Nov 2005,106.9,107.2,108.1,107,103.3,101.7,226800,229000,224100,230700,166900,220600
Dec 2005,105.5,105.7,107.3,105.2,103.5,101.9,223800,225700,222600,226900,167100,221100
Jan 2006,103.8,103.9,107.2,102.4,103.3,102.1,220300,222000,222300,220700,166900,221500
Feb 2006,106.1,106.3,107.6,105.9,103,102.2,225100,227000,223100,228300,166300,221700
Mar 2006,107.5,107.8,110.7,106.6,102.6,102.4,228100,230200,229600,229800,165700,222200
Apr 2006,107.8,108,110.2,107.3,102.3,102.6,228700,230700,228600,231400,165200,222600
May 2006,107.5,107.8,108.1,108.2,101.9,102.7,228100,230300,224100,233300,164500,222800
Jun 2006,106.1,106.3,109.5,105.3,101.5,102.9,225200,227100,227200,227000,164000,223200
Jul 2006,105,105.2,107.2,104.4,101.3,102.8,222800,224700,222400,225100,163600,223000
Aug 2006,106.4,106.7,108,106.4,101.1,102.7,225800,227900,224000,229400,163200,222800
Sep 2006,106.6,106.9,109.2,106.3,100.8,102.6,226200,228400,226500,229100,162800,222600
Oct 2006,108.5,108.9,111.3,108.2,100.6,102.4,230200,232600,230900,233300,162400,222200
Nov 2006,106.6,106.9,107.4,106.9,100.2,102.3,226100,228400,222700,230400,161900,221900
Dec 2006,107.7,108.1,109.9,107.6,99.8,102.2,228600,230900,228000,231900,161100,221700
Jan 2007,108.4,108.8,110.6,108.1,100.8,103,230000,232400,229300,233000,162800,223500
Feb 2007,108.8,109.1,111.3,108.3,101.5,103.7,230800,233100,230900,233600,164000,225000
Mar 2007,108.2,108.5,110.6,107.9,102.4,104.5,229600,231800,229400,232600,165300,226700
Apr 2007,109.4,109.7,111.8,109,103.2,105.2,232200,234300,231800,234900,166600,228200
May 2007,109.5,109.8,110.8,109.8,104,106,232300,234500,229800,236700,167900,230000
Jun 2007,111.4,111.7,113.9,111.1,104.7,106.8,236400,238600,236200,239500,169100,231700
Jul 2007,111.2,111.5,111.9,111.7,105.1,107.2,236000,238200,232000,240800,169700,232600
Aug 2007,112.5,112.9,115.2,112.3,105.4,107.6,238700,241100,238900,242100,170200,233400
Sep 2007,113.1,113.5,116.5,112.5,105.6,108,240000,242500,241700,242500,170600,234300
Oct 2007,113.9,114.4,116.8,113.5,105.9,108.5,241800,244300,242200,244700,171100,235400
Nov 2007,114.8,115.2,118.2,113.8,106.3,108.9,243600,246100,245200,245400,171700,236300
Dec 2007,114.3,114.6,116.6,114.1,106.4,109.3,242600,244800,241900,246000,171900,237100
Jan 2008,116.1,116.6,118.9,115.7,107.1,109.8,246400,249100,246500,249400,172900,238200
Feb 2008,114.6,115,115.5,115.1,107.5,110.4,243200,245600,239600,248200,173600,239500
Mar 2008,115.4,115.7,116.2,115.7,107.7,110.9,244800,247100,241000,249500,174000,240600
Apr 2008,115.2,115.5,115,115.9,108.2,111.5,244400,246700,238500,249900,174700,241900
May 2008,116.7,117,118.6,116.8,108.4,112,247700,249900,246000,251900,175100,243000
Jun 2008,116.9,117.3,119.2,116.7,108.7,112.6,248000,250500,247300,251600,175500,244300
Jul 2008,117.1,117.4,121.4,115.9,109.2,112.9,248400,250700,251800,249800,176300,244900
Aug 2008,115.9,116.2,120.3,114.9,109.7,113.2,246000,248100,249400,247700,177200,245600
Sep 2008,115.9,116,116.9,115.9,110.4,113.5,245900,247700,242400,249900,178300,246200
Oct 2008,115.6,115.8,118.5,114.4,111.1,113.8,245300,247300,245800,246700,179400,246900
Nov 2008,114.1,114.1,114.9,113.9,111.7,114.1,242200,243800,238300,245600,180400,247500
Dec 2008,114.3,114.4,117.7,113.1,112.6,114.4,242500,244300,244100,243800,181800,248200
Jan 2009,112.5,112.4,114.9,111.5,112,113.9,238700,240000,238200,240300,180900,247100
Feb 2009,113.7,113.7,118.4,111.8,111.2,113.4,241200,242800,245500,241100,179600,246000
Mar 2009,114.3,114.3,116.4,113.7,110.2,112.9,242600,244200,241500,245200,178000,244900
Apr 2009,113.7,113.8,116,113,109.3,112.5,241300,243000,240500,243700,176500,244100
May 2009,113.8,113.9,116.6,113.1,108.2,112,241400,243300,241900,243800,174800,243000
Jun 2009,114.1,114.3,114.4,114.7,107.1,111.5,242100,244100,237200,247200,173000,241900
Jul 2009,115.1,115.5,116.4,115.5,106.6,111.6,244200,246700,241400,249000,172200,242100
Aug 2009,115.4,115.7,118.6,115.2,106.5,111.8,244800,247200,246000,248300,172000,242500
Sep 2009,116.9,117.4,119.5,116.6,106.6,111.9,248100,250700,247800,251400,172100,242800
Oct 2009,115.3,115.7,116.8,114.9,106.7,112,244600,247100,242300,247800,172300,243000
Nov 2009,117.4,117.9,117.6,118.2,106.4,112.1,249200,251800,243900,254900,171900,243200
Dec 2009,116.9,117.5,117.1,118.1,107.2,112.2,248000,250900,242800,254600,173100,243400
Jan 2010,117.5,118.1,117.1,118.8,106.7,112.8,249400,252300,242900,256100,172300,244700
Feb 2010,118.6,119.2,119.4,119.6,106.7,113,251600,254600,247600,257800,172400,245100
Mar 2010,118.4,119,120.1,119,107.5,111.7,251300,254200,249100,256500,173600,242300
Apr 2010,120.1,121,122.3,120.6,106.9,109.9,254900,258400,253600,260000,172600,238400
May 2010,120.6,121.5,124.1,120.7,107.4,110.5,255900,259500,257400,260200,173500,239700
Jun 2010,120.8,121.7,122.7,121.6,108.4,110.3,256400,259900,254400,262100,175000,239300
Jul 2010,120.9,121.7,125.1,120.7,108.2,112.4,256500,260000,259400,260200,174700,243800
Aug 2010,122.9,123.8,126.7,123.3,108.4,113.3,260800,264500,262700,265900,175100,245800
Sep 2010,121.1,122,121.6,122.6,107.9,113.3,256900,260500,252300,264300,174200,245800
Oct 2010,122,122.8,119.4,123.9,112.6,113.4,258900,262200,247600,267100,181900,246000
Nov 2010,122.5,123.2,122.4,123.9,112.8,116,260000,263200,253800,267200,182100,251700
Dec 2010,124.9,125.8,127.8,125.4,112.4,118,265000,268800,265000,270300,181600,256000
Jan 2011,123.8,124.3,126.9,123.5,112.2,118.7,262600,265600,263200,266200,181200,257500
Feb 2011,124.4,124.9,126.3,124.7,120.9,116.6,263900,266700,262000,268900,195300,253000
Mar 2011,124.1,124.5,129.3,123.1,121.4,115.1,263400,266000,268100,265400,196100,249700
Apr 2011,125.3,125.7,126.1,126,123,114.7,265800,268600,261500,271600,198700,248800
May 2011,125.1,125.5,126.2,125.6,125.1,116.2,265400,268000,261700,270800,202000,252100
Jun 2011,124.3,124.4,126.7,123.6,125.8,119.6,263700,265700,262800,266500,203200,259500
Jul 2011,124.8,124.9,124.3,125.8,127.2,120.6,264900,266800,257800,271200,205500,261600
Aug 2011,125.5,125.6,125.4,126.3,127.5,119.6,266400,268300,260000,272200,205900,259500
Sep 2011,125.5,125.6,127.3,125.3,126.9,119.9,266400,268300,264000,270200,204900,260100
Oct 2011,129.5,130.1,130.2,129.4,125.7,119.5,274700,277900,270100,279000,203000,259200
Nov 2011,128.1,128.6,132.8,127.2,125.8,119.8,271800,274600,275400,274200,203100,259900
Dec 2011,126.1,126.6,130,125.5,124.3,119.8,267500,270400,269700,270600,200700,259900
Jan 2012,130,130.6,131.2,130.8,125.3,122.2,275900,278900,272100,281900,202400,265100
