Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,124400,124500,124200,123900,122700
Feb 2005,99.8,99.8,100.2,100.2,100.2,124200,124300,124500,124100,123000
Mar 2005,99.8,99.8,99.9,100.3,100.4,124100,124300,124100,124300,123200
Apr 2005,99.4,99.4,99.8,100.4,100.6,123600,123800,124000,124400,123400
May 2005,99,99,99.2,100.6,100.7,123200,123200,123200,124600,123600
Jun 2005,99,99,98.7,100.7,100.9,123200,123300,122600,124800,123800
Jul 2005,99.8,99.8,100.3,100.9,101.1,124200,124300,124600,125000,124100
Aug 2005,101,101.1,102.1,101,101.3,125700,125900,126800,125100,124300
Sep 2005,102.3,102.4,104,101.2,101.5,127300,127500,129200,125400,124600
Oct 2005,102.5,102.7,103.9,101.3,101.7,127500,127900,129000,125500,124800
Nov 2005,102.8,103,103.7,101.5,101.9,127900,128200,128800,125800,125000
Dec 2005,103,103.1,103.5,101.6,102.1,128100,128300,128500,125900,125300
Jan 2006,103.2,103.3,103.5,103.2,102.6,128400,128600,128600,127900,125900
Feb 2006,103.2,103.2,102.9,104.8,103.1,128400,128500,127800,129800,126500
Mar 2006,103.1,103.2,101.6,106.5,103.6,128200,128500,126200,132000,127100
Apr 2006,104.7,104.7,103.8,108.2,104.1,130300,130400,128900,134100,127700
May 2006,106.2,106.4,105.6,109.8,104.6,132100,132500,131200,136000,128400
Jun 2006,108,108.5,107.6,111.6,105.1,134300,135100,133600,138300,129000
Jul 2006,107.5,107.7,107.1,110.7,105.9,133700,134100,133000,137200,129900
Aug 2006,107.2,107.4,106.6,109.9,106.7,133400,133700,132400,136200,130900
Sep 2006,107,107,106.4,109.1,107.5,133100,133200,132200,135200,131900
Oct 2006,106.8,106.7,106,108.3,108.3,132800,132800,131700,134200,132900
Nov 2006,106.6,106.3,105.4,107.5,109.2,132600,132400,130900,133200,134000
Dec 2006,106.3,105.8,104.8,106.7,110,132200,131700,130100,132200,135000
Jan 2007,107.4,107.1,107.6,107,110.4,133600,133300,133600,132600,135500
Feb 2007,108.4,108.2,109.3,107.3,110.7,134900,134700,135800,132900,135800
Mar 2007,109.4,109.3,110.6,107.6,111.1,136100,136100,137400,133300,136300
Apr 2007,109.2,109,110.5,107.9,111.5,135800,135700,137200,133700,136800
May 2007,108.7,108.4,109.8,108.2,111.8,135200,135000,136400,134100,137200
Jun 2007,108.5,108.4,109.2,108.4,112.2,135000,134900,135600,134300,137700
Jul 2007,108.7,108.4,109.3,108.5,112.1,135200,135000,135800,134400,137600
Aug 2007,109.1,108.8,109.7,108.4,112,135700,135400,136200,134300,137400
Sep 2007,109.6,109.3,110.4,108.4,111.9,136300,136100,137100,134300,137300
Oct 2007,110.3,110.1,112,108.4,111.8,137200,137100,139100,134300,137200
Nov 2007,111.1,111.1,113,108.4,111.7,138200,138300,140400,134300,137100
Dec 2007,112.1,112.2,114.2,108.5,111.5,139500,139700,141800,134400,136800
Jan 2008,113.5,113.7,116.7,110.3,112.9,141200,141600,144900,136700,138500
Feb 2008,115,115.2,117.7,112.2,114.2,143100,143400,146200,139000,140100
Mar 2008,116.6,116.9,118.4,114.2,115.6,145100,145500,147000,141500,141900
Apr 2008,117.2,117.3,118.8,116.1,116.9,145800,146100,147500,143900,143400
May 2008,117.8,117.8,118.8,118,118.3,146500,146600,147500,146200,145200
Jun 2008,118.4,118.5,118.8,120.1,119.7,147300,147500,147500,148800,146900
Jul 2008,117.9,117.9,118,119.6,119.4,146700,146800,146500,148200,146500
Aug 2008,117.6,117.6,117.1,119.1,119.1,146300,146400,145500,147600,146100
Sep 2008,117.6,117.6,117.2,118.6,118.9,146300,146400,145600,146900,145900
Oct 2008,117.4,117.3,117.7,118.1,118.6,146000,146100,146200,146300,145500
Nov 2008,117,117,117.6,117.6,118.3,145600,145700,146000,145700,145200
Dec 2008,117.4,117.4,117.4,117.1,118,146000,146200,145800,145100,144800
Jan 2009,116.5,116.5,117.6,116.6,117.3,144900,145000,146000,144500,143900
Feb 2009,115.7,115.7,116.4,116,116.7,143900,144000,144600,143700,143200
Mar 2009,115.8,115.7,114.9,115.5,116,144000,144100,142700,143100,142300
Apr 2009,116,116.1,117,115.1,115.3,144300,144500,145300,142600,141500
May 2009,116.5,116.8,118.8,114.7,114.7,144900,145400,147600,142100,140700
Jun 2009,117.3,117.6,120.6,114.5,114,145900,146400,149800,141900,139900
Jul 2009,118.2,118.5,121.3,115.4,114.9,147100,147500,150700,143000,141000
Aug 2009,119.3,119.5,122.1,116.2,115.8,148400,148800,151700,144000,142100
Sep 2009,120.7,121.1,123.8,117,116.7,150200,150800,153700,145000,143200
Oct 2009,121.3,121.6,124.8,117.9,117.6,150900,151400,155000,146100,144300
Nov 2009,121.4,121.6,125,118.8,118.5,151000,151400,155300,147200,145400
Dec 2009,122.7,123,125.3,119.9,119.5,152600,153100,155600,148600,146600
Jan 2010,125.6,126.1,131.2,119.8,119.6,156200,157000,163000,148400,146800
Feb 2010,121.5,121.6,123.3,119.8,119.6,151100,151400,153100,148400,146800
Mar 2010,123.4,123.6,125.6,120.7,119,153500,153900,156000,149500,146000
Apr 2010,122.1,122.4,124.9,121,116.7,151900,152400,155100,149900,143200
May 2010,124.7,124.9,125.9,126,119.7,155100,155500,156400,156100,146900
Jun 2010,125.3,125.5,127.3,125.3,119.7,155900,156200,158100,155200,146900
Jul 2010,125,125.2,127.2,123,118.4,155500,155900,158000,152400,145300
Aug 2010,126,126.1,125.9,126.9,121.8,156700,157000,156400,157200,149500
Sep 2010,125.2,125.1,125.1,125.3,125.2,155700,155800,155400,155200,153600
Oct 2010,128,128,126.7,129.5,127.2,159200,159300,157300,160500,156100
Nov 2010,129.7,129.7,129.1,129.6,126.5,161300,161500,160300,160600,155200
Dec 2010,127.5,127.2,129.5,125,131.9,158600,158400,160900,154900,161900
Jan 2011,128.8,128.6,126,135.4,132.7,160200,160100,156500,167700,162800
Feb 2011,129.4,129.2,128.6,131.6,135.1,161000,160800,159700,163100,165800
Mar 2011,127.1,127.1,124.6,130.8,129.2,158100,158200,154800,162100,158500
Apr 2011,129.6,129.4,133.1,125.6,132.8,161200,161100,165300,155600,163000
May 2011,129.3,129,132.3,125.2,133.4,160800,160600,164300,155100,163700
Jun 2011,129.4,129.2,130.4,128.7,130.7,161000,160900,162000,159400,160400
Jul 2011,128.1,127.8,128.7,127,132.1,159300,159100,159900,157400,162100
Aug 2011,128.6,128.4,130.3,126.1,132.1,160000,159900,161800,156200,162100
Sep 2011,128.1,127.9,128.4,127.7,134,159400,159200,159500,158200,164400
Oct 2011,128.8,128.7,128.6,128.5,132.8,160200,160200,159700,159200,163000
Nov 2011,131.4,131.3,130.4,132.4,130.9,163400,163500,162000,164000,160600
Dec 2011,131.1,130.8,131.5,131,136.5,163100,162900,163300,162300,167500
Jan 2012,132.4,132.2,134,132.1,133.9,164700,164600,166400,163700,164300
Feb 2012,133.2,133.3,135.1,132.3,129.6,165700,166000,167800,163900,159000
Mar 2012,132,132,130.1,135.1,131.1,164200,164400,161600,167400,160900
Apr 2012,132.4,132.6,128.1,143.8,128.9,164700,165100,159100,178200,158100
May 2012,132.5,132.6,130.8,137.4,129.3,164800,165100,162400,170300,158700
Jun 2012,133,133.3,131.8,136.7,128.5,165500,165900,163700,169400,157700
Jul 2012,134.9,135.1,133.3,139.5,129.6,167800,168200,165500,172900,159000
Aug 2012,132.9,133.1,132.9,134.5,130.5,165300,165700,165000,166600,160100
Sep 2012,133.6,133.8,133.2,136.2,131.1,166200,166600,165400,168700,160800
Oct 2012,131.3,131.3,131.6,131,129.8,163300,163500,163500,162300,159300
Nov 2012,132.4,132.5,132,133.7,127.9,164700,165000,164000,165600,156900
Dec 2012,133,133.3,134.5,131.7,127.5,165400,166000,167000,163200,156500
Jan 2013,131.8,132,133.9,131.9,126.3,164000,164400,166300,163400,155000
Feb 2013,133.4,133.7,135,132.8,127.7,165900,166400,167700,164500,156700
