Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,100,133100,134000,128200,139400,97500,96400
Feb 2005,100.1,100.1,99.8,100.6,100.1,100.5,133200,134200,128000,140300,97600,96900
Mar 2005,100.5,100.5,99.9,101.7,100.3,101,133700,134700,128100,141800,97800,97400
Apr 2005,100.8,100.9,100.2,102.2,100.3,101.5,134200,135200,128500,142500,97800,97800
May 2005,101.4,101.4,100.6,103,100.4,102,134900,135900,129000,143600,97900,98300
Jun 2005,101.8,101.8,100.9,103.8,100.6,102.5,135500,136400,129400,144700,98100,98800
Jul 2005,101.6,101.6,100.1,103.9,100.7,103,135200,136100,128300,144800,98200,99300
Aug 2005,101.3,101.2,99.3,103.8,100.8,103.5,134800,135600,127300,144700,98300,99800
Sep 2005,100.8,100.7,98.4,103.4,101,104,134100,135000,126200,144200,98500,100300
Oct 2005,100.8,100.6,98.4,102.9,101.1,104.5,134100,134800,126200,143500,98600,100700
Nov 2005,100.5,100.2,98.5,102.2,101.3,105,133700,134300,126300,142400,98800,101200
Dec 2005,100.4,100.3,98.3,101.9,101.4,105.5,133600,134400,126000,142000,98900,101700
Jan 2006,100.3,100.2,98.7,102.1,101.6,108.1,133500,134300,126500,142300,99100,104200
Feb 2006,100.5,100.4,99,102.6,101.7,110.7,133800,134600,126900,143000,99200,106700
Mar 2006,101.1,101,99.3,103.4,101.9,113.4,134600,135300,127300,144200,99400,109300
Apr 2006,102,101.9,100,104.6,102.2,116.2,135800,136500,128200,145800,99600,112000
May 2006,103,102.9,100.8,106,102.3,119,137100,137900,129200,147700,99700,114700
Jun 2006,103.9,103.9,101.5,107.4,102.5,121.9,138300,139200,130100,149700,99900,117500
Jul 2006,104.4,104.4,102.3,107.2,102.2,123.1,139000,139900,131100,149400,99600,118700
Aug 2006,104.9,104.8,103,107,101.8,124.3,139600,140400,132100,149200,99300,119800
Sep 2006,105.1,104.9,103.7,106.5,101.5,125.5,139900,140600,133000,148400,99000,121000
Oct 2006,105.2,105.1,103.4,107.1,101.2,126.7,140000,140900,132600,149300,98700,122100
