Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,100,309200,351800,309700,366500,217200,200200
Feb 2005,100.3,100.3,100.9,100.2,100,100.2,310000,353000,312400,367100,217200,200600
Mar 2005,100.8,101,101,101,100.3,100.5,311600,355300,312700,370000,217800,201200
Apr 2005,101.2,101.4,101.7,101.4,100.5,100.5,312800,356800,315000,371600,218200,201200
May 2005,101.6,101.8,101.9,101.8,100.9,100.9,314000,358300,315600,373000,219200,202100
Jun 2005,101.9,102.3,101.8,102.4,101.4,101.2,315200,359800,315200,375200,220200,202700
Jul 2005,102.3,102.6,102.2,102.6,101.5,101.3,316200,361100,316600,376200,220400,202900
Aug 2005,102.7,103.2,103.4,103.1,101.9,101.6,317700,362900,320100,377900,221400,203400
Sep 2005,103.1,103.5,103.6,103.5,102.4,102.1,318900,364200,321000,379300,222400,204400
Oct 2005,103.8,104.3,104.7,104.1,102.9,102.5,320800,366800,324300,381500,223600,205300
Nov 2005,104.3,104.8,104.7,104.7,103.2,103,322400,368600,324400,383900,224200,206200
Dec 2005,105,105.3,105.2,105.3,104.2,104.4,324700,370500,325900,386100,226400,209000
Jan 2006,105.7,106.1,106.3,106,104.2,105,326700,373200,329100,388500,226300,210200
Feb 2006,106.1,106.5,106.7,106.4,104.8,105.6,328100,374600,330500,390000,227600,211400
Mar 2006,106.7,107.3,107.8,107.1,105.1,105.4,330000,377500,333800,392400,228200,211100
Apr 2006,107.1,107.7,107.8,107.7,105.7,105.8,331300,379000,334000,394600,229600,211800
May 2006,107.3,108,108.3,108,105.8,105.5,331900,380000,335500,395700,229800,211300
Jun 2006,107.3,107.9,108.3,107.7,106,106.1,331900,379500,335400,394600,230200,212500
Jul 2006,107.6,108.1,108.4,108,106.6,106.3,332600,380200,335600,395800,231500,212800
Aug 2006,107.5,108,107.8,108,106.5,106.1,332300,380000,333800,396000,231300,212500
Sep 2006,107.9,108.3,107.9,108.3,107.4,106.9,333500,380900,334100,397000,233200,214100
Oct 2006,108,108.3,108.3,108.3,107.3,107.2,333900,381000,335400,397100,233000,214600
Nov 2006,108.4,108.7,108.9,108.6,107.8,108.2,335200,382300,337400,398000,234200,216600
Dec 2006,108.8,109.3,110,109.2,108.1,107.2,336500,384600,340700,400100,234900,214600
Jan 2007,109.2,109.7,109.7,109.6,108.5,108.4,337800,385800,339700,401600,235700,217000
Feb 2007,110.3,110.8,111.2,110.8,109.3,108.9,341200,389900,344300,405900,237400,218100
Mar 2007,111,111.4,112,111.3,109.8,109.9,343100,392000,346800,408000,238500,220100
Apr 2007,111.5,112,111.9,112,110.1,110.8,344900,394100,346600,410400,239200,221800
May 2007,112.4,112.8,112.9,112.8,110.6,111.8,347400,396900,349500,413300,240300,223800
Jun 2007,113.3,113.8,113.9,113.8,111.3,112.3,350200,400400,352800,416900,241800,224900
Jul 2007,113.9,114.4,114.6,114.4,112,113.2,352200,402600,354900,419400,243200,226600
Aug 2007,114.7,115.2,115.4,115,112.9,114.1,354600,405300,357400,421600,245300,228500
Sep 2007,115.3,115.9,116.2,115.7,112.5,114.6,356400,407600,359800,424200,244400,229400
Oct 2007,116.1,116.7,116.3,116.9,113.6,115.4,359100,410700,360300,428400,246800,231000
Nov 2007,116.9,117.6,117.5,117.5,114,116,361400,413700,363800,430800,247500,232200
Dec 2007,117.6,118.2,117.7,118.4,114.8,116.6,363600,415900,364600,433900,249300,233500
Jan 2008,118.3,118.9,118.3,119,115.4,117.9,365900,418200,366300,436100,250700,236100
Feb 2008,118.8,119.2,118.3,119.4,115.7,119.1,367200,419300,366400,437700,251200,238400
Mar 2008,118.6,118.7,117.5,119.1,115.4,119.8,366800,417500,364000,436500,250600,239900
Apr 2008,118.8,118.7,117.8,119,116,120.3,367300,417700,364900,436000,252000,240800
May 2008,118.7,118.4,117.7,118.5,116.3,121.1,367000,416400,364500,434300,252500,242400
Jun 2008,118.4,117.9,117.4,118.1,116.3,120.8,366000,414900,363700,432800,252700,241800
Jul 2008,118.1,117.5,117,117.6,115.9,121.5,365300,413400,362500,430900,251700,243200
Aug 2008,118.1,117.2,117.1,117.2,116.2,122.1,365200,412400,362800,429600,252400,244400
Sep 2008,117.5,116.6,116.4,116.7,115.9,121.3,363400,410200,360500,427600,251700,242900
Oct 2008,116.8,115.7,115.9,115.8,115.5,120.6,361100,407200,359000,424300,250900,241500
Nov 2008,115.7,114.6,114,114.8,115.3,119.7,357800,403100,353000,420800,250400,239600
Dec 2008,114.9,113.5,112.3,114,113.6,119.6,355200,399400,347800,417800,246800,239500
Jan 2009,113.1,112.1,111.2,112.3,113.4,116.8,349800,394300,344500,411600,246300,233900
Feb 2009,112,110.7,109.5,111.1,112.6,115.6,346200,389400,339200,407300,244600,231400
Mar 2009,112.1,110.9,109.3,111.4,112.7,116.1,346700,390200,338600,408200,244800,232400
