Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,100,250800,257800,251700,262100,177500,170300
Feb 2005,100.2,100.2,100,100.3,99.8,100.5,251200,258400,251700,262800,177100,171100
Mar 2005,100.2,100.4,100,100.3,99.5,101,251400,258800,251600,263000,176600,172000
Apr 2005,100.4,100.4,100.1,100.5,100.3,101.5,251900,258900,251900,263400,178000,172800
May 2005,100.6,100.3,100.2,100.4,101,102,252200,258600,252200,263200,179200,173700
Jun 2005,100.6,100.3,100.2,100.2,101.5,102.5,252400,258600,252200,262700,180200,174500
Jul 2005,101,100.7,99.8,101.2,101.7,103.7,253200,259500,251100,265300,180600,176600
Aug 2005,101.2,101,99.4,102,101.9,104.8,253800,260300,250200,267300,180800,178400
Sep 2005,101.4,101.3,99.1,102.7,102.1,106,254300,261100,249400,269100,181300,180500
Oct 2005,101.9,101.9,99.9,103.1,102.1,104,255500,262700,251500,270300,181300,177100
Nov 2005,102.4,102.5,100.9,103.6,102.3,102,256700,264200,253900,271500,181500,173700
Dec 2005,102.9,103,101.7,104.1,102.6,100.1,258000,265600,256000,272900,182100,170400
Jan 2006,103.1,103.2,101.5,104.3,103,102.4,258600,266100,255400,273300,182800,174400
Feb 2006,103.4,103.3,101.4,104.7,103.6,104.6,259300,266400,255200,274300,183900,178100
Mar 2006,103.7,103.5,101.2,104.7,104.2,106.9,260000,266700,254700,274500,185000,182000
Apr 2006,103.7,103.6,101.7,104.7,104.8,104.9,260100,267000,255900,274500,186000,178600
May 2006,103.7,103.6,102.1,104.7,105.3,102.9,260100,267200,256900,274400,186900,175200
Jun 2006,103.9,103.8,102.4,104.6,105.9,100.9,260500,267700,257700,274200,187900,171800
Jul 2006,104.1,104.1,102.7,105,105.9,102,261000,268300,258400,275200,188000,173700
Aug 2006,104.3,104.4,102.8,105.4,106,103.1,261700,269100,258800,276300,188100,175500
Sep 2006,104.6,104.7,103.1,105.9,106.1,104.2,262300,270000,259500,277500,188300,177400
Oct 2006,105,105.2,103.2,106.4,106.1,103.4,263300,271200,259700,279000,188300,176100
Nov 2006,105.5,105.6,103.3,107.2,106.3,102.7,264500,272200,260100,280900,188600,174900
Dec 2006,105.8,106.1,103.5,108,106.6,101.9,265400,273500,260600,283000,189300,173500
Jan 2007,106.1,106.4,104.2,107.7,107.1,101.6,266000,274200,262300,282300,190100,173000
Feb 2007,106.1,106.4,104.6,107.5,107.9,101.3,266200,274400,263200,281700,191600,172500
Mar 2007,106.3,106.5,105,107.2,108.8,101,266600,274600,264400,280900,193200,172000
Apr 2007,106.9,107.2,105.6,108.2,108.8,101.5,268100,276300,265700,283700,193200,172800
May 2007,107.6,108,106,109.2,108.8,102,269900,278300,266700,286100,193200,173700
Jun 2007,108.3,108.8,106.4,110.2,109,102.4,271600,280400,267900,288900,193400,174400
Jul 2007,108.9,109.2,107.4,110.3,110,104.1,273100,281400,270200,289200,195300,177200
Aug 2007,109.4,109.7,108.3,110.5,111,105.7,274500,282800,272500,289700,197100,180000
Sep 2007,110.1,110.2,109.3,110.7,112.4,107.4,276100,284100,275000,290200,199500,182900
Oct 2007,110.3,110.5,109.1,111.4,111.9,106.5,276600,284800,274700,292000,198700,181300
Nov 2007,110.4,110.7,109,111.9,111.7,105.5,277000,285500,274300,293300,198300,179600
Dec 2007,110.6,111.1,108.8,112.7,111.7,104.5,277400,286300,273800,295300,198300,177900
Jan 2008,111.4,111.9,110.3,113.1,111.8,104.1,279400,288600,277600,296500,198500,177200
Feb 2008,111.8,112.4,111,113.3,112.7,103.7,280500,289700,279400,296900,200100,176600
Mar 2008,112.5,113.1,112,113.4,113.4,103.3,282100,291500,282000,297200,201200,175900
