Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,100,198300,212000,205000,213900,142800,123600
Feb 2005,101.5,101.5,102.2,101.3,100.8,101.5,201300,215200,209500,216600,144000,125500
Mar 2005,102.3,102.4,104.7,101.7,101.8,101.5,202800,217000,214600,217600,145300,125400
Apr 2005,103.4,103.3,102.8,103.4,102.7,103.7,205000,219000,210800,221100,146600,128200
May 2005,102.1,102.6,104,102.1,103.6,99.8,202400,217500,213200,218400,148000,123300
Jun 2005,103,103.2,104,102.9,104.6,104.1,204300,218800,213300,220200,149300,128700
Jul 2005,104.5,105.3,105.2,105.4,103.8,102.8,207300,223300,215700,225500,148200,127000
Aug 2005,103.7,103.8,105.5,103.4,102.9,104.2,205700,220100,216200,221200,147000,128800
Sep 2005,105.2,105.2,107.6,104.5,102.2,109.1,208600,223000,220500,223500,145900,134800
Oct 2005,105.6,106.1,108.5,105.5,103.5,104.2,209500,224900,222500,225600,147800,128800
Nov 2005,105.7,106.1,106.2,105.9,104.9,105.7,209700,224900,217700,226500,149800,130700
Dec 2005,106.9,107.9,108.5,107.7,106.3,99.3,212000,228700,222400,230400,151800,122700
Jan 2006,107.6,107.8,109,107.4,106.4,106.6,213300,228500,223400,229800,151900,131700
Feb 2006,108.3,108.6,109.3,108.4,106.6,107.1,214700,230300,224000,231900,152200,132400
Mar 2006,108.9,109.2,108.2,109.3,106.7,107.1,215900,231400,221900,233700,152300,132400
Apr 2006,110,110.5,111,110.3,107,107.1,218100,234200,227600,236000,152800,132400
May 2006,110.9,111.5,112.3,111.2,107.1,109.2,219900,236400,230300,237800,153000,135000
Jun 2006,110.8,110.8,111.3,110.7,107.5,114.8,219800,235000,228200,236700,153500,141900
Jul 2006,110.5,111.2,112.7,110.8,108,110.1,219100,235700,231000,237100,154200,136100
Aug 2006,111.3,112,113.7,111.5,108.5,108.8,220800,237400,233100,238600,154900,134500
Sep 2006,110.9,111.7,111.7,111.8,108.9,108.3,219900,236900,229000,239100,155500,133900
Oct 2006,111.6,112.2,110.5,112.5,108.8,110,221400,237800,226500,240700,155300,136000
Nov 2006,111.1,111.2,111.9,111,108.7,112.1,220300,235800,229400,237500,155200,138600
Dec 2006,111.7,111.9,111.2,112.1,108.5,110,221500,237200,228000,239800,155000,136000
Jan 2007,113.6,113.6,114.8,113.4,109.2,113.9,225200,240900,235300,242500,155900,140800
Feb 2007,113.3,113.5,114.1,113.3,109.9,113,224600,240700,233900,242400,156900,139700
Mar 2007,114,114.1,115,113.7,110.4,113.8,226000,241800,235700,243100,157700,140700
Apr 2007,114,114.3,115.1,114.1,110.6,112.4,226100,242400,235900,244100,157900,138900
