Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,100,159100,170100,158000,183500,120400,109500
Feb 2005,102.1,102.5,101.5,102.3,101.1,100.7,162500,174300,160300,187700,121700,110300
Mar 2005,101.5,101.6,101.1,101.3,101.4,101.4,161500,172800,159700,185900,122100,111000
Apr 2005,102.9,102.9,101.5,102.7,103.9,102.1,163700,175000,160400,188500,125100,111800
May 2005,103.5,103.6,102,103.9,103.5,102.8,164600,176300,161200,190700,124600,112600
Jun 2005,103.1,102.9,101.5,103.2,105.3,103.5,164100,175100,160400,189300,126800,113300
Jul 2005,104.1,103.7,102.7,103.9,106.7,104.4,165600,176400,162200,190600,128500,114300
Aug 2005,104.8,104.2,104.1,103.3,108.6,105.4,166800,177300,164500,189600,130700,115400
Sep 2005,105.3,105.1,104.3,105,106.9,106.4,167600,178800,164800,192700,128700,116500
Oct 2005,105.8,105.2,103.8,105.6,107.7,108.2,168300,178900,164000,193700,129700,118500
Nov 2005,107.1,106.5,105.6,106.7,108.2,110,170400,181200,166800,195800,130300,120500
Dec 2005,107.8,107.1,106.8,106.5,109.6,112,171500,182200,168700,195400,132000,122600
Jan 2006,108.4,107.7,107.5,107.6,111,111,172400,183200,169900,197500,133600,121500
Feb 2006,109,108.6,109.1,106.9,110.7,110,173400,184800,172300,196200,133300,120400
Mar 2006,110.1,109.7,109.7,108.8,113.7,108.9,175200,186600,173300,199600,136900,119300
Apr 2006,109.4,109,109.7,106.8,111.8,110.3,174100,185400,173400,196000,134600,120800
May 2006,110.1,109.8,109.6,108.9,111.1,111.6,175100,186800,173100,199800,133800,122200
Jun 2006,110.6,110.1,109.6,109.4,113.7,113,176000,187300,173100,200700,136900,123700
Jul 2006,110.6,110.2,110,109.4,112.9,111.9,176000,187500,173800,200700,135900,122500
Aug 2006,110.7,110.3,108.9,110.7,113.1,110.9,176100,187700,172100,203200,136200,121400
Sep 2006,111.3,110.9,110.7,110.2,115.3,109.8,177100,188600,174900,202300,138800,120200
Oct 2006,111.7,111.3,111.3,110,115.2,110,177700,189400,175900,201900,138700,120400
Nov 2006,112.5,112.2,111.7,111.9,115.4,110,179000,190900,176500,205300,139000,120500
Dec 2006,112.9,112.3,112.2,111.7,117.8,110.3,179700,191100,177200,204900,141800,120800
Jan 2007,113.1,112.5,112.7,112,118.4,111,179900,191400,178000,205600,142600,121500
Feb 2007,113.8,113.1,112.5,112.5,118.8,111.6,181000,192400,177800,206500,143000,122200
Mar 2007,115,114.7,114.1,114.3,119.3,112.1,183000,195100,180200,209700,143600,122800
Apr 2007,115.7,115.3,114.1,115.2,119.2,113.4,184100,196200,180300,211400,143500,124200
May 2007,116,115.3,114.5,115,121.5,114.6,184600,196200,180900,211100,146300,125500
Jun 2007,117.3,116.9,115.6,116.8,121.5,115.8,186600,198800,182600,214400,146300,126800
Jul 2007,116.7,116.2,115.8,115.6,121.3,116.3,185700,197600,182900,212200,146100,127400
Aug 2007,117,116.7,116.5,115.6,119.9,117,186200,198500,184000,212200,144300,128100
Sep 2007,119,118.9,117.2,119.4,121,117.6,189300,202200,185100,219100,145700,128800
Oct 2007,118.4,117.9,118.1,116.4,122.3,117.4,188300,200500,186600,213600,147200,128500
Nov 2007,118.4,117.7,118,116.5,122.7,117.3,188300,200200,186500,213700,147700,128400
Dec 2007,120,120.1,119.1,120.1,120,117.2,190900,204300,188100,220400,144500,128300
Jan 2008,121.5,120.8,121.8,119.1,129.3,116.9,193300,205400,192500,218600,155700,128000
Feb 2008,120.7,120.9,119.8,120.5,122.4,116.6,192100,205600,189300,221100,147400,127700
Mar 2008,119.2,119.3,118.4,119,121.6,116.3,189700,202900,187100,218300,146400,127300
Apr 2008,120.9,120.7,119.2,120.8,124.7,117.3,192400,205300,188300,221700,150100,128400
May 2008,120.6,120.3,119.7,119.7,124.4,118.4,191900,204700,189100,219700,149800,129600
Jun 2008,120.4,120.2,120.7,118.3,123.5,119.4,191500,204400,190700,217000,148700,130700
Jul 2008,121,121,120.4,120.8,123,119.4,192500,205900,190200,221700,148100,130700
Aug 2008,120.9,120.8,119.4,120.9,123.3,119.3,192300,205500,188700,221800,148500,130600
Sep 2008,120.1,119.7,118.9,119.5,123.8,119.3,191100,203600,187900,219200,149100,130600
Oct 2008,120.6,120.1,118.4,120.4,124.6,118.4,191800,204300,187100,221000,150000,129700
Nov 2008,119.7,119,117.8,119.5,123.9,117.7,190400,202500,186100,219300,149200,128900
Dec 2008,117.7,117.3,116.3,117,119.6,117,187300,199500,183800,214700,144000,128100
Jan 2009,117.3,116.7,115.6,116.9,122.8,116.8,186700,198500,182700,214600,147800,127900
Feb 2009,117.2,116.3,114.7,116.7,123.3,116.7,186400,197800,181200,214100,148400,127800
Mar 2009,117.5,116.6,115.1,117.3,123.3,116.6,186900,198400,181900,215200,148400,127700
Apr 2009,117.7,117.2,116.6,116.6,122,117.3,187300,199300,184200,213900,146900,128400
May 2009,118.2,117.3,116.4,116.9,124.7,118.1,188000,199500,183900,214500,150100,129300
Jun 2009,118.5,118,116.9,117.9,122.5,118.8,188600,200800,184700,216300,147500,130100
Jul 2009,120.2,119.5,118.2,120.2,126,118.9,191200,203200,186700,220500,151700,130200
Aug 2009,121.1,120.5,120,119.8,126.2,119.1,192700,204900,189600,219800,152000,130400
Sep 2009,121.9,121.4,121,120.8,126.6,119.2,193900,206500,191200,221700,152400,130500
Oct 2009,122.4,122.7,120.4,123.5,122.3,119.4,194800,208700,190300,226700,147200,130700
Nov 2009,123.6,123.5,123.7,122.3,126.5,119.5,196600,210000,195500,224400,152300,130900
Dec 2009,123.3,122.7,121.6,122.5,127.1,119.9,196100,208700,192200,224700,153000,131300
Jan 2010,124.8,125,123.5,125.4,123.6,124.7,198600,212600,195200,230200,148800,136500
Feb 2010,124.4,124.2,123.9,123.3,124.6,125.8,197900,211200,195700,226300,150000,137800
Mar 2010,124.1,124,122.8,124,124.9,125.2,197500,211000,194000,227500,150400,137100
Apr 2010,124.7,124.7,124,124.1,124.8,125.1,198400,212100,195900,227800,150300,137000
May 2010,125,125.4,123.4,126,123.4,125.2,198800,213300,194900,231300,148600,137100
Jun 2010,125.3,125.9,124.7,125.4,124.3,122.6,199300,214100,197100,230100,149700,134200
Jul 2010,122.5,122.6,122,122.5,124.3,121.6,194900,208500,192800,224700,149600,133100
Aug 2010,125,125.1,123.7,125.2,127.8,121.1,198900,212800,195500,229700,153900,132600
Sep 2010,124.5,125.3,122.4,126.8,121.5,122.2,198100,213100,193400,232600,146300,133800
Oct 2010,124.8,124.9,124.8,123.7,126,122.2,198600,212400,197200,226900,151700,133800
Nov 2010,124.6,124.9,124.2,124.7,125,120.9,198300,212400,196300,228800,150500,132400
Dec 2010,126.4,126.2,124.9,126.1,126.2,122.6,201100,214700,197300,231400,151900,134300
Jan 2011,125.1,125.3,124.7,125,126.7,121,199000,213200,197000,229300,152500,132500
Feb 2011,125.4,125.3,124,125.5,127.2,124.2,199500,213100,195900,230300,153200,136000
Mar 2011,125.9,126.2,125.4,125.7,126.2,123.2,200300,214600,198200,230600,152000,134900
Apr 2011,125.5,125.5,123.7,125.7,125.9,124.7,199600,213400,195500,230700,151600,136500
May 2011,126,125.7,124.5,125.6,126.6,129.9,200400,213900,196700,230400,152400,142200
