Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,100,193200,202400,166500,244700,191600,165200
Feb 2005,100.4,100.1,100.4,100,100.6,101.3,193900,202600,167100,244600,192700,167400
Mar 2005,100.6,100.9,101.1,100.9,101.2,99.6,194400,204300,168300,247000,193900,164600
Apr 2005,101.6,101.8,101.9,101.6,102.3,100.4,196200,206000,169700,248700,196000,165900
May 2005,100.8,101.1,102.2,99.6,102.2,99.6,194700,204700,170200,243800,195800,164500
Jun 2005,101.1,101.4,101.8,101.2,103.2,100.3,195400,205300,169500,247600,197700,165700
Jul 2005,101.8,102.1,102.6,101.6,105.6,100.4,196700,206600,170900,248600,202300,165900
Aug 2005,101.8,102.4,103.1,101.8,103.7,99.5,196600,207300,171600,249100,198700,164300
Sep 2005,102.4,103.1,104.4,101.8,102.9,99.8,197800,208700,173800,249000,197100,164800
Oct 2005,103,103.8,104.8,102.7,104.4,100.3,199000,210100,174500,251300,200000,165700
Nov 2005,103.2,104.2,105.3,102.9,102.6,100.2,199300,210800,175400,251800,196500,165500
Dec 2005,103.1,104.6,105.8,103.2,100.8,99,199200,211700,176200,252500,193100,163600
Jan 2006,103.7,104.6,105.9,103.3,103.4,100.6,200400,211800,176300,252800,198100,166200
Feb 2006,104.3,105.6,106.8,104.2,105.4,100.5,201500,213700,177800,255000,201900,166000
Mar 2006,104.4,105.6,107.3,103.9,105.6,100.6,201700,213800,178600,254300,202300,166200
Apr 2006,105.1,106.4,107.5,105.2,107.1,100.5,203100,215300,179000,257500,205200,166100
May 2006,105.2,106.4,107.7,104.9,107.2,101.4,203300,215400,179400,256600,205400,167500
Jun 2006,105.7,106.9,108.8,104.8,111.6,101.6,204300,216400,181200,256400,213800,167800
Jul 2006,105.5,106.9,108.5,105.1,107.3,101.2,203800,216300,180600,257300,205600,167200
Aug 2006,106.4,107.5,109.1,105.6,108.9,102.5,205500,217600,181700,258500,208600,169300
Sep 2006,106.8,108.1,109.2,106.6,106.9,102.9,206300,218700,181900,260900,204800,170000
Oct 2006,107,108.3,109.4,106.8,109.2,103.1,206700,219100,182200,261300,209200,170300
Nov 2006,107.7,109.4,110.9,107.6,107.6,102.8,208100,221400,184700,263300,206100,169800
Dec 2006,108.6,110.1,112.1,107.8,110.5,104.3,209900,222900,186600,263900,211700,172300
Jan 2007,109.6,111.1,112.7,109.2,110.9,105,211700,224800,187700,267300,212500,173500
Feb 2007,110,111.8,113.5,109.8,111.5,104.5,212600,226200,189000,268600,213600,172700
Mar 2007,111,112.5,114.4,110.5,113.1,105.8,214400,227800,190500,270300,216700,174800
Apr 2007,111,112.6,114.2,111,113.3,105.7,214500,228000,190100,271600,217000,174600
May 2007,112.2,114.3,115.9,112.3,112.3,105.9,216700,231300,193000,274800,215100,174900
Jun 2007,112.5,114.6,116.9,112.2,115.5,105.7,217400,232000,194700,274500,221300,174600
Jul 2007,113.5,115.7,117.7,113.4,113.7,106.8,219300,234100,195900,277500,217800,176500
Aug 2007,114,116,117.7,113.9,114,107.8,220300,234700,196000,278800,218400,178100
Sep 2007,114.8,116.8,119,114.5,115.2,108.4,221700,236500,198200,280100,220700,179100
Oct 2007,115.6,118,120.1,115.6,116.4,108.5,223300,238800,199900,282800,223000,179300
Nov 2007,116.3,118.3,119.9,116.5,117.5,109.7,224600,239500,199700,285000,225100,181300
Dec 2007,117.2,119.6,121.4,117.6,118.1,110.4,226500,242000,202200,287700,226200,182400
Jan 2008,117.3,119.9,122.1,117.4,120.4,108.9,226700,242600,203300,287400,230600,179900
Feb 2008,118,120.4,122.2,118.3,119.7,110.7,227900,243700,203500,289400,229300,182800
Mar 2008,118.5,120.8,122.5,119.1,120.3,111.8,229000,244600,203900,291400,230500,184700
Apr 2008,119.3,121.7,123.7,119.6,119.4,112.2,230500,246300,205900,292600,228700,185400
May 2008,119.5,121.6,123.6,119.4,121,113.3,230900,246200,205800,292200,231800,187100
Jun 2008,120.4,122.7,124.1,121,122.8,114,232600,248300,206700,296000,235200,188400
Jul 2008,120.6,122.7,124.7,120.7,119.9,114.6,233000,248400,207700,295400,229700,189300
Aug 2008,121.3,123.7,125.5,121.8,121.5,114.4,234400,250400,208900,298100,232800,189000
Sep 2008,121.4,123.9,125.5,122.1,123.8,114.3,234600,250700,209000,298700,237200,188800
Oct 2008,121.3,123.8,125.8,121.6,124.1,113.9,234400,250600,209400,297600,237700,188100
Nov 2008,121.6,123.8,126.2,121.1,127.8,114.6,235000,250600,210100,296400,244800,189300
Dec 2008,121.4,123.2,124.9,121.4,124,116.9,234500,249400,207900,297000,237500,193200
Jan 2009,121.3,123.5,124.4,122.6,124.7,114.9,234400,249900,207100,300000,238900,189800
Feb 2009,121.2,123.4,124.9,122,123.2,115.2,234200,249800,207900,298500,236000,190300
Mar 2009,121.4,123.4,125.1,121.5,123.1,115.6,234500,249800,208300,297400,235800,190900
Apr 2009,122.2,124.2,125.9,122.5,126,116.3,236100,251400,209600,299700,241400,192100
May 2009,122.8,125,126.7,123.3,126.4,116.3,237200,253100,210900,301700,242100,192100
Jun 2009,123.3,125.6,127.1,124.2,127.7,116.9,238200,254200,211600,304000,244600,193100
Jul 2009,124.3,126.6,128.8,124.6,125.6,118,240100,256300,214400,304800,240600,194900
Aug 2009,124.8,127.3,129.6,124.6,128.1,118.3,241200,257600,215800,305000,245400,195500
Sep 2009,125.5,127.9,129.1,126.4,127.8,119,242400,258800,215000,309300,244800,196600
Oct 2009,127,129.1,130.3,127.6,129.3,121.3,245300,261300,216900,312300,247700,200400
Nov 2009,128.1,130.7,131.8,129.7,125.9,121.6,247500,264500,219400,317300,241200,200900
Dec 2009,127.4,130.3,131.9,128.9,127.4,120.6,246200,263800,219600,315300,244100,199200
Jan 2010,129.5,131.8,133.6,129.7,130,123.6,250100,266800,222500,317400,249000,204200
Feb 2010,130.6,132.6,134.8,130.1,133.5,125.3,252400,268400,224500,318400,255700,207000
Mar 2010,131.5,133.7,135.4,132,132.4,125.9,254100,270600,225400,323000,253600,208000
Apr 2010,132,134,135.7,132.3,136.3,126.3,255000,271300,226000,323800,261100,208600
May 2010,133.3,135.4,136.8,133.9,133.3,128.1,257500,274000,227700,327600,255400,211600
Jun 2010,133.4,135.8,136.6,134.8,137.4,127.8,257800,274800,227500,329800,263200,211100
Jul 2010,134.1,137,137.2,137,133.6,127.2,259100,277200,228400,335200,255900,210100
Aug 2010,134.1,136.5,137.4,135.5,135.7,128.1,259100,276300,228800,331600,260000,211700
Sep 2010,134.7,137.4,138.4,136.5,135.8,128.3,260300,278100,230500,333900,260200,212000
Oct 2010,135.7,137.9,139.8,135.7,137.9,130.3,262200,279100,232800,332000,264200,215300
Nov 2010,136.7,139.1,140.3,137.8,138.5,130.7,264200,281500,233600,337300,265300,215900
Dec 2010,137.3,140.1,140.8,139.5,137.8,131.4,265300,283500,234400,341300,264000,217000
Jan 2011,137.9,140,141.3,138.8,142.5,132.6,266500,283400,235200,339600,273000,219100
Feb 2011,138.3,140.8,141.1,140.5,143.7,132.3,267200,284900,234900,343900,275300,218500
Mar 2011,138.9,141.6,142,141,145.1,132.5,268400,286500,236500,345100,278000,218900
Apr 2011,139,141.1,141.6,140.4,143.7,133.8,268500,285500,235700,343600,275300,221100
May 2011,139.4,142,142.9,140.9,143.1,133.3,269300,287400,238000,344700,274100,220200
Jun 2011,139.8,141.6,142.6,140.5,142.9,135.2,270000,286500,237400,343700,273800,223400
Jul 2011,140.1,141.7,142,141.6,146.3,135.7,270600,286900,236400,346600,280300,224200
Aug 2011,141,143.1,143.4,142.8,146.2,136.1,272500,289700,238700,349400,280100,224800
Sep 2011,141.7,143.6,144.2,143,145.4,137.3,273800,290600,240100,350000,278500,226800
Oct 2011,141.9,144.1,144.3,143.7,146.4,136.7,274100,291600,240200,351700,280500,225900
Nov 2011,142.1,144,144.7,143.4,144.7,137.2,274500,291500,240900,351000,277200,226700
Dec 2011,142.8,145.3,145.9,144.5,150.7,137.3,275900,294000,243000,353700,288700,226900
Jan 2012,143.6,146.3,146.5,146.3,151.6,137.2,277500,296200,243900,357900,290400,226600
Feb 2012,144,146.3,146.3,146.5,149.2,138.6,278300,296200,243600,358600,285800,228900
Mar 2012,144.4,146.5,146.5,146.7,151.1,139.1,278900,296500,244000,358900,289500,229800
Apr 2012,145.1,147.4,147.5,147.3,147.3,140.1,280400,298300,245600,360500,282200,231500
May 2012,145.2,147.1,147,147.3,149.6,140.6,280500,297700,244700,360500,286600,232200
Jun 2012,145.5,148.2,148.7,147.5,150,139.6,281100,299900,247600,360900,287400,230600
Jul 2012,146.1,148.3,148.2,148.5,148.5,141.1,282300,300100,246800,363300,284500,233100
Aug 2012,146.3,148.6,148.4,148.9,150.9,141,282600,300700,247100,364400,289100,233000
Sep 2012,147,148.8,149.8,147.9,150.8,142.9,284000,301200,249400,362000,288900,236000
Oct 2012,146.2,148.5,148.5,148.5,150.3,141,282500,300500,247200,363400,287900,232900
Nov 2012,146.1,148.1,147.9,148.5,150.9,141.2,282200,299800,246300,363500,289100,233200
Dec 2012,146.8,149.1,148.6,149.8,158.1,141.5,283600,301800,247500,366500,302900,233700
Jan 2013,146.8,149.4,148.8,150.2,153.9,141,283700,302400,247800,367500,294800,232900
Feb 2013,147,149.8,149.8,149.9,151.4,141,284000,303100,249400,366800,290000,233000
Mar 2013,147.5,150.1,150.6,149.7,153.7,141.7,285000,303900,250800,366200,294400,234100
Apr 2013,146.7,150,149.7,150.6,154.4,139.6,283500,303500,249200,368600,295800,230700
May 2013,146.8,149.8,149.3,150.6,152.5,140.3,283700,303200,248600,368500,292100,231700
Jun 2013,147,150,149.5,150.8,152.6,140.4,284100,303600,248900,369100,292300,231900
Jul 2013,147.2,150.8,150.9,150.8,150.6,139.6,284400,305300,251200,368900,288500,230600
Aug 2013,147.9,151,151.2,151,156.1,140.7,285800,305600,251700,369400,299000,232500
Sep 2013,147.1,150.9,151.2,150.9,152.4,138.8,284200,305500,251700,369200,292000,229300
Oct 2013,147.4,150.8,150.9,150.8,153.3,140,284700,305300,251300,369000,293700,231200
Nov 2013,147.4,151.1,150.8,151.7,155.6,139.5,284800,305800,251000,371100,298100,230400
Dec 2013,147.6,150.6,151.1,150.6,153.5,140.4,285100,304900,251500,368400,294100,232000
Jan 2014,148.5,151.4,151.8,151,153.5,142.3,286900,306400,252700,369400,294200,235000
Feb 2014,148.4,151.8,152.7,151.2,157.1,140.7,286800,307200,254200,369900,301000,232500
Mar 2014,147.8,151.3,151.5,151.2,156.3,140.1,285500,306200,252300,370000,299400,231500
Apr 2014,148.9,152.4,153.2,151.5,156.8,141.2,287700,308400,255000,370600,300400,233300
May 2014,148.2,151.9,152.3,151.5,154.4,140.1,286400,307500,253600,370800,295800,231500
Jun 2014,148.7,152.3,152.4,152.3,153,141,287200,308200,253700,372600,293100,233000
Jul 2014,148.4,151.8,152.3,151.1,152.2,141.1,286800,307300,253500,369800,291600,233100
Aug 2014,148.8,152.3,152.2,152.7,158.1,140.4,287500,308200,253400,373600,302900,232000
Sep 2014,149.1,152.2,151.6,152.9,154.1,142.6,288000,308000,252400,374100,295200,235500
Oct 2014,149.1,152.6,152.3,152.9,158.2,141.7,288100,308800,253600,374100,303100,234100
Nov 2014,150,153.2,153.6,153.1,154.6,143,289800,310100,255700,374600,296200,236300
Dec 2014,149.3,152.6,152.4,153.1,153.3,141.8,288500,308800,253800,374700,293700,234300
Jan 2015,148.9,152.1,152.1,152,152.7,141.8,287600,307800,253200,371900,292500,234300
Feb 2015,149.8,152.9,152.9,153.4,155.9,142.5,289500,309400,254600,375300,298700,235400
Mar 2015,150.5,154.2,153.9,154.5,158,141.9,290700,312000,256300,378100,302700,234500
Apr 2015,150.4,153.4,153.1,153.9,156.4,143.5,290600,310500,254900,376700,299600,237100
May 2015,151.1,154.4,154.1,154.9,159.5,143.3,291900,312600,256500,379100,305600,236800
Jun 2015,150.9,154.3,153.9,154.7,159.3,143.6,291600,312300,256200,378600,305200,237300
Jul 2015,150.7,153.7,152.9,154.1,159.2,144.1,291200,311000,254600,377200,305000,238000
Aug 2015,150.4,153,153.5,152.8,155,143.8,290600,309600,255500,373800,296900,237500
Sep 2015,151.2,154.8,155.1,154.6,154.7,143.6,292200,313300,258200,378300,296500,237300
Oct 2015,151.5,155.3,155.9,154.8,156.3,143.5,292700,314400,259500,378700,299400,237100
Nov 2015,151.7,155.3,155.5,155.5,155,143.9,293100,314400,258900,380400,296900,237700
Dec 2015,151.8,155.8,155.7,156.5,157.8,142.5,293300,315300,259300,382900,302300,235400
Jan 2016,152.5,156.1,156.3,155.9,160.5,143.6,294600,315900,260200,381600,307500,237300
Feb 2016,152.5,156.3,156.6,156.5,156.9,143.7,294600,316400,260800,382900,300600,237400
Mar 2016,152.6,156.3,156.4,156.5,159.6,143.9,294800,316400,260400,382900,305700,237800
Apr 2016,153.1,157.7,157.6,157.8,160,142.9,295800,319100,262400,386200,306500,236100
May 2016,153.7,157.7,158.3,157,161,144.5,297000,319200,263600,384200,308400,238700
Jun 2016,155,158.8,158.6,158.8,167,146.2,299500,321500,264000,388600,319900,241500
Jul 2016,154.9,159.1,159.2,158.5,165.7,145.1,299300,322000,265000,387900,317400,239700
Aug 2016,154,158.7,158.9,158.5,164.9,142.4,297500,321300,264600,387800,315900,235300
Sep 2016,155,159.5,159.2,159.8,159.4,145.3,299400,322800,265100,391100,305400,240100
Oct 2016,156,160.1,159.9,160.5,165.2,146.5,301300,324100,266300,392700,316500,242000
Nov 2016,156.9,161.5,161.1,162.2,164.8,146.5,303100,326900,268300,396900,315700,242100
Dec 2016,159,162.8,162.8,164.1,165.3,149.1,307100,329600,271000,401600,316700,246300
Jan 2017,157.3,163.4,163,164,169.2,143.4,304000,330800,271400,401300,324100,236900
Feb 2017,156.6,161.9,161.8,162.9,168.5,143.9,302500,327700,269400,398500,322800,237700
Mar 2017,158,164,163.7,164.4,168.5,144.4,305200,331900,272500,402400,322800,238500
Apr 2017,158.9,164.3,163.8,165,177.3,145.8,307000,332500,272800,403700,339800,240800
May 2017,159.9,165.7,164.8,166.7,170.5,147.2,309000,335300,274400,407900,326600,243200
Jun 2017,160.2,165.8,165.7,165.5,175.7,147.6,309600,335500,275900,405100,336600,243900
Jul 2017,160.9,166.1,163.8,168.1,175.4,148.8,310900,336200,272800,411300,336000,245900
Aug 2017,163.1,168.1,166.8,169.5,178.1,150.8,315100,340200,277800,414700,341200,249100
Sep 2017,162.4,168.3,167.6,169.5,169.2,149.9,313800,340700,279000,414700,324100,247700
Oct 2017,164,169.7,168.4,171.3,175.4,151.7,316900,343400,280400,419200,336000,250600
Nov 2017,164.3,170,168.8,171.4,173.2,152.5,317400,344000,281100,419300,331800,252000
