Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,100,175900,178200,172300,184400,148000,137200
Feb 2005,99.7,99.7,98.1,101.2,100.1,100.9,175400,177600,169000,186700,148200,138500
Mar 2005,99.8,99.8,99.7,100.4,100.3,101.9,175600,177900,171800,185200,148400,139800
Apr 2005,100.3,100.4,100.5,100.2,99.5,102.8,176500,178900,173200,184800,147300,141100
May 2005,100.6,100.6,100.9,100.4,99,103.8,177000,179300,173800,185200,146500,142400
Jun 2005,101,101,101,101,98.5,104.8,177700,179900,174000,186300,145800,143800
Jul 2005,101.5,101.6,102.3,100.9,99.5,103.2,178500,181100,176200,186000,147300,141600
Aug 2005,101.1,101.2,101.5,101,100.7,101.6,177900,180300,174800,186300,149000,139400
Sep 2005,103.3,103.7,102.7,104.3,102,100,181700,184800,177000,192400,150900,137200
Oct 2005,102.1,102.2,102.4,102.4,102,101.6,179600,182100,176400,188800,151000,139400
Nov 2005,103.3,103.4,103.8,103.5,102.5,103.1,181700,184200,178800,190800,151700,141500
Dec 2005,104.4,104.4,103.7,105.9,102.5,104.7,183600,186100,178600,195200,151700,143700
Jan 2006,104.9,105.1,104.1,106.1,102.2,103.4,184500,187300,179400,195600,151200,141900
Feb 2006,105.2,105.4,105.6,105.1,101.5,102,185000,187800,181900,193800,150200,140000
Mar 2006,106.2,106.5,106,107.8,100.9,100.7,186800,189800,182600,198700,149400,138200
Apr 2006,106.3,106.6,105.8,107.4,101.5,101.2,187000,190000,182300,198000,150200,138900
May 2006,106.3,106.6,107,106.4,102.1,101.6,186900,189900,184300,196200,151100,139400
Jun 2006,106.5,106.8,106.2,107.5,102.9,102,187300,190300,183000,198300,152300,140000
Jul 2006,106.7,106.8,106.7,107,103.8,102.6,187600,190300,183800,197300,153600,140700
Aug 2006,107.6,107.9,107.8,108.1,104.8,103.1,189200,192300,185700,199300,155100,141400
Sep 2006,106.9,107.2,106.7,107.6,105.8,103.5,188000,191100,183800,198500,156600,142000
Oct 2006,107.4,107.7,106.9,108.9,104.4,103.2,189000,192000,184200,200900,154500,141600
Nov 2006,107,107.3,106.8,108.7,103.3,103.1,188300,191200,184000,200400,152900,141400
Dec 2006,107.9,108.3,108.4,109,101.9,102.8,189800,193000,186700,201000,150800,141100
Jan 2007,108.9,109.4,108.5,110,102.6,102,191600,195000,187000,202800,151900,140000
Feb 2007,109,109.5,109.3,109.6,103.3,101.2,191800,195200,188300,202100,152900,138900
Mar 2007,109.6,110.2,109.9,110.9,104.1,100.4,192800,196300,189400,204500,154000,137800
Apr 2007,110.1,110.5,110.6,110.4,104.9,101.3,193600,196900,190500,203500,155300,139000
May 2007,110.7,111.2,111,111.5,106,102.3,194700,198100,191200,205600,156900,140300
Jun 2007,111.8,112.3,112.4,111.9,107.4,103.1,196700,200200,193700,206300,158900,141500
Jul 2007,111.9,112.3,111.3,113.3,107.4,103.8,196800,200100,191700,209000,159000,142400
Aug 2007,112.2,112.6,111.6,113.8,107.8,104.4,197400,200600,192300,209900,159500,143300
Sep 2007,112.8,113.4,112.2,114.4,107.6,105.1,198400,202100,193300,210900,159200,144200
Oct 2007,113.6,114.1,113.9,114.8,108,105.3,199900,203400,196300,211600,159800,144500
Nov 2007,113.5,114,114,114.8,108.9,105.6,199700,203200,196500,211700,161100,144900
Dec 2007,112.9,113.4,114.4,113,109.2,105.9,198600,202000,197100,208300,161600,145300
Jan 2008,112.7,113,111.6,113.9,110,107.7,198300,201300,192300,210100,162800,147800
