Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,100,132800,137400,122300,160000,129600,115800
Feb 2005,100.5,100.6,100.6,100.4,100.3,100.3,133400,138200,123000,160600,130000,116100
Mar 2005,100.7,101,101.8,99.8,100.5,100.9,133700,138800,124500,159700,130300,116800
Apr 2005,100.5,100.8,101.4,100.6,100.8,100.7,133500,138500,124000,161000,130700,116600
May 2005,101.1,101.7,102.1,101.8,101,100.2,134200,139800,124900,162800,130900,116000
Jun 2005,101.5,102.3,102.6,102.3,101.3,100.3,134800,140600,125500,163700,131300,116200
Jul 2005,103.1,103.3,103.5,104,101.5,105.4,136900,142000,126600,166400,131600,122100
Aug 2005,104.4,104.5,105.1,104.1,101.9,104.3,138700,143600,128500,166500,132000,120800
Sep 2005,103.6,105.2,105.7,104.6,102,98.8,137600,144500,129300,167300,132200,114400
Oct 2005,105.6,106.8,106.5,107.6,102.3,103,140300,146800,130200,172100,132600,119300
Nov 2005,105.2,105.5,106.5,105.5,102.6,104.2,139700,144900,130300,168800,133000,120700
Dec 2005,107,108.1,108.3,107.8,102.9,104.5,142100,148500,132500,172500,133300,121000
Jan 2006,107.4,108.2,108.3,108.1,103.1,104.8,142600,148700,132400,173000,133600,121400
Feb 2006,107.6,108.5,108.9,107.8,103.5,104.7,142900,149100,133200,172500,134200,121200
Mar 2006,107.8,108.2,108.3,108.1,103.9,108,143100,148700,132400,172900,134600,125100
Apr 2006,108.5,109,110.1,108.4,104.1,108.7,144100,149700,134600,173400,134900,125900
May 2006,109,109.8,110,110.1,104.4,108.5,144700,150800,134500,176200,135300,125700
Jun 2006,109.9,111.3,111.9,111.3,104.7,106.6,146000,152900,136800,178000,135700,123500
Jul 2006,110.5,111.9,113.3,110.6,105.2,109.3,146700,153700,138600,177000,136400,126600
Aug 2006,111.6,112.4,112.8,112.2,105.6,109.6,148200,154400,137900,179500,136900,126900
Sep 2006,111.7,112.5,113.6,110.9,106.1,109.7,148300,154600,138900,177500,137500,127000
Oct 2006,112.7,113.5,113.2,113.8,106.6,111.8,149700,155900,138500,182000,138100,129500
Nov 2006,112.7,113.6,115.2,112.6,107,110,149600,156100,140900,180200,138700,127400
Dec 2006,113.9,114.6,115.3,113.9,107.6,112.2,151200,157500,141000,182200,139400,129900
Jan 2007,114.6,115.5,116.3,114.8,108.1,112.3,152200,158700,142200,183600,140100,130000
Feb 2007,115.7,117,117.1,116.5,108.7,112.1,153600,160700,143200,186400,140900,129800
Mar 2007,117.8,119.7,119.2,120.3,109.3,113.1,156400,164500,145800,192400,141700,131000
Apr 2007,118.4,120.2,120.3,120.9,110,114.4,157200,165100,147100,193400,142500,132500
May 2007,119.4,121,122,119.9,110.6,116.9,158500,166200,149200,191800,143400,135400
Jun 2007,120.2,121.5,122.5,120.6,111.2,118.8,159600,166900,149800,193000,144100,137600
Jul 2007,121.2,123.4,124.3,122.6,112.7,118.3,161000,169500,152000,196100,146100,137000
Aug 2007,121.7,124.1,125,123.4,114.2,114.2,161600,170500,152900,197500,148000,132200
Sep 2007,123.6,125.5,125.9,125.6,115.8,117.9,164100,172500,154000,200900,150100,136500
Oct 2007,124.3,126.6,128.4,123.7,117.4,118.1,165100,174000,157000,197900,152100,136800
Nov 2007,126,127.8,128.6,128.1,118.9,120,167300,175600,157300,204900,154100,139000
Dec 2007,126.4,128.2,129.4,126.7,120.5,120.6,167900,176200,158300,202700,156200,139600
Jan 2008,127.7,130.3,132.1,128.3,121.5,119.4,169600,179100,161500,205300,157400,138300
Feb 2008,128.9,131.3,132.1,130.1,122.3,121.9,171200,180400,161500,208100,158500,141200
Mar 2008,129.7,132.5,134.1,130.2,123.3,121.8,172200,182100,164000,208300,159800,141100
Apr 2008,131.3,133.9,135.8,131.9,124.2,124.9,174400,184000,166100,211000,161000,144600
May 2008,132.2,134.3,135.7,132.9,125.2,128,175500,184500,165900,212600,162200,148200
Jun 2008,133.8,136.3,137.6,135.5,126.2,128.6,177700,187300,168300,216800,163500,148900
Jul 2008,134.9,137.5,138.3,136.4,127.3,130.6,179200,188900,169200,218200,165000,151200
Aug 2008,136.1,138.6,139.3,138.2,128.6,129.2,180700,190400,170400,221100,166700,149600
Sep 2008,138,140.5,141.3,139.9,129.9,130.7,183200,193000,172800,223800,168400,151300
Oct 2008,135.8,138.4,140.5,135.1,131.3,129,180300,190200,171800,216200,170100,149400
Nov 2008,137.2,139.6,141.8,137.6,132.6,129.5,182200,191800,173400,220100,171800,150000
Dec 2008,137.8,140.3,140.8,140.1,133.8,129.6,183000,192800,172200,224100,173400,150100
Jan 2009,138.4,140.6,141.5,140,134.3,131.9,183800,193200,173000,224000,174100,152700
Feb 2009,140.9,142.9,143.5,141.9,134.8,136.2,187100,196400,175500,227100,174700,157700
Mar 2009,139.6,141.8,141.2,143,135.3,134.4,185400,194900,172700,228800,175400,155600
Apr 2009,140.1,141.2,142.4,140.9,135.8,138.3,186000,194000,174100,225500,176000,160200
May 2009,141.5,144.3,145.6,143.4,136.3,135.6,187900,198300,178100,229400,176700,157000
Jun 2009,141.9,144.3,146.7,141.8,136.8,137.7,188500,198200,179400,226800,177300,159400
Jul 2009,143.4,145.5,145.3,145.1,137.3,140.8,190500,199900,177700,232200,178000,163000
Aug 2009,144.8,146.3,147.9,144.6,137.8,141.4,192300,201000,180900,231400,178600,163700
Sep 2009,147.1,148.7,151.2,146,138.3,142,195300,204300,184900,233600,179300,164400
Oct 2009,149.4,151.6,152.4,150.5,138.8,144.1,198400,208300,186400,240800,179900,166900
Nov 2009,151.6,154.3,156.3,152.4,139.4,143.9,201300,212000,191100,243800,180700,166600
Dec 2009,152.9,155.7,157.6,153.9,139.9,144.3,203100,214000,192700,246200,181300,167100
Jan 2010,154.8,157.7,159.8,155.3,146.6,147.8,205600,216700,195400,248500,190000,171200
Feb 2010,155.3,157.9,160.6,153.8,147.8,149.3,206200,216900,196400,246100,191600,172900
Mar 2010,156.8,159.4,162.2,155.6,150.3,151.3,208200,219000,198400,248900,194800,175200
Apr 2010,158.7,161.1,163.2,159.4,152.2,153.1,210700,221300,199600,255100,197300,177300
May 2010,160,162.4,164.5,160.4,155.2,156.2,212500,223100,201200,256600,201200,180900
Jun 2010,161.1,163.9,165.3,163.1,154.5,156.6,214000,225200,202200,261000,200200,181400
Jul 2010,160.9,163.4,165.1,159.7,155.7,156.9,213700,224500,201900,255500,201800,181700
Aug 2010,162.6,165.9,169,162.1,157.6,154,215900,227900,206700,259300,204300,178300
Sep 2010,162.7,164.5,166.6,162.4,156.2,157.4,216000,226000,203800,259900,202400,182300
Oct 2010,166,169.1,170.9,166.4,157.6,158.1,220500,232400,209000,266200,204200,183100
Nov 2010,163.8,167.7,168.1,167.9,157.7,153.1,217500,230400,205600,268600,204400,177300
Dec 2010,164.9,169,171.7,165.7,158.8,152.5,219000,232200,210000,265100,205800,176600
Jan 2011,168,171.7,171.7,172.3,160.9,159.3,223100,235900,210000,275600,208500,184500
Feb 2011,167.8,170.3,172,167.6,164.6,163,222800,234000,210400,268100,213300,188800
Mar 2011,168.8,171.7,174.9,167.8,164.7,162.5,224100,235900,213900,268500,213400,188200
Apr 2011,169.5,172.3,174.2,170.9,167.5,163,225100,236800,213100,273400,217100,188800
May 2011,168.9,172,174.3,169.6,166.3,163.2,224300,236300,213200,271300,215500,189000
Jun 2011,169.2,172.1,174,170.4,167.9,164.6,224700,236400,212800,272700,217600,190600
Jul 2011,168.7,172.6,176.1,166.1,168.2,160.1,224000,237200,215400,265800,218000,185400
Aug 2011,171.6,174,174.9,173.9,166.7,165.8,227900,239100,213900,278300,216000,192000
Sep 2011,172.3,176.2,178.3,174.1,169.9,160.7,228800,242100,218100,278500,220200,186100
Oct 2011,172.2,175.8,178.6,171.7,162.9,162.1,228700,241600,218400,274700,211100,187700
Nov 2011,174.5,177.7,179.1,176.3,171.1,167,231800,244100,219100,282000,221700,193400
Dec 2011,174.1,176.8,178,175.9,171.4,166.7,231200,242900,217700,281400,222100,193000
Jan 2012,174.3,177,178.2,175.6,170.4,169.3,231500,243200,217900,280900,220900,196100
Feb 2012,175.4,178.8,179.1,178.6,169.1,168.3,232900,245700,219100,285800,219200,194900
Mar 2012,175.5,178.2,179.4,177.9,170.9,170.7,233000,244900,219400,284600,221500,197700
Apr 2012,175.9,179,182.2,175.4,170.1,169.7,233600,245900,222800,280600,220500,196500
May 2012,178.2,180.6,182.6,179.2,171.5,174.4,236600,248200,223300,286700,222200,202000
Jun 2012,176.2,177.7,180.8,174.7,171.8,175.7,234000,244100,221100,279500,222700,203500
Jul 2012,180.4,183.9,185.7,180.3,173.5,174,239600,252700,227100,288400,224800,201500
Aug 2012,178.3,181.7,185,178.2,177.8,169.5,236800,249700,226300,285100,230400,196300
Sep 2012,178.6,181.3,182.5,180.4,172.6,171.5,237200,249100,223200,288600,223700,198600
Oct 2012,179,182.6,184.4,179.8,172.1,168.6,237700,250900,225500,287600,223000,195200
Nov 2012,177.9,181.8,185.4,177.7,173,168.3,236200,249800,226700,284300,224200,194900
Dec 2012,180.9,184.4,186.9,181.8,173.7,172.6,240300,253300,228600,290800,225100,199900
Jan 2013,181.9,185.1,186.7,182.9,175.2,176,241500,254300,228300,292600,227100,203800
Feb 2013,181.8,185.4,186.1,184.8,175.5,174.4,241400,254700,227600,295700,227400,202000
Mar 2013,181.7,185.5,188.5,182.4,176.9,174.4,241300,254900,230500,291800,229300,201900
