Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,118300,118500,116900,121000,89400
Feb 2005,101.1,101.1,101.5,100.5,100,119600,119800,118600,121600,89400
Mar 2005,101.9,101.9,102.5,100.7,100,120600,120800,119800,121900,89400
Apr 2005,102.1,102.2,103,101.1,100,120800,121100,120400,122300,89400
May 2005,102.2,102.4,103,101.2,100,120900,121300,120400,122400,89400
Jun 2005,102.6,102.8,103.7,101,100,121400,121800,121200,122200,89400
Jul 2005,102.4,102.4,103.3,101.2,100,121100,121400,120700,122400,89400
Aug 2005,102.6,102.7,103.4,101.3,100,121400,121700,120900,122600,89400
Sep 2005,102.6,102.7,103.2,101.7,100,121400,121700,120600,123100,89400
Oct 2005,104.4,104.5,105.6,102.6,100,123500,123800,123500,124200,89400
Nov 2005,105.9,106,107.6,103.6,100,125300,125600,125800,125400,89400
Dec 2005,108.1,108.1,110.4,104.7,100,127900,128100,129100,126700,89400
Jan 2006,107.2,107.2,108.9,104.9,101.3,126800,127000,127300,126900,90600
Feb 2006,106.4,106.5,107.7,104.6,102.7,125900,126200,125900,126600,91800
Mar 2006,105.4,105.4,106.2,104.4,104.1,124700,124900,124100,126300,93100
Apr 2006,106.9,106.9,108.5,104.5,105.5,126500,126700,126800,126500,94300
May 2006,108.1,108.1,110.4,104.5,106.9,127900,128100,129100,126500,95600
Jun 2006,109.7,109.6,113,104.5,108.3,129800,129900,132100,126400,96800
Jul 2006,107.9,108.1,110.9,103.9,106.4,127700,128100,129600,125700,95100
Aug 2006,107,107,109.3,103.4,104.6,126600,126800,127800,125100,93500
Sep 2006,105.6,105.8,107.4,103.1,102.7,124900,125400,125500,124700,91800
Oct 2006,107.3,107.3,109.7,103.7,100.9,126900,127100,128200,125500,90200
Nov 2006,108.7,108.8,111.3,104.8,99.2,128600,128900,130100,126800,88700
Dec 2006,110.6,110.7,113.8,105.8,97.4,130800,131200,133000,128000,87100
Jan 2007,112.7,112.7,115.8,108.2,97.3,133300,133600,135400,130900,87000
Feb 2007,114.9,115,118.2,110.3,97.2,135900,136300,138200,133500,86900
Mar 2007,117,117,120.1,112.5,97.2,138400,138700,140400,136100,86900
Apr 2007,116.7,117,119.2,113.5,97.1,138100,138700,139400,137300,86800
May 2007,116.4,116.6,118,114.3,97,137700,138200,138000,138300,86700
Jun 2007,116.5,116.7,117.4,115,96.9,137800,138300,137200,139100,86600
Jul 2007,117,117.1,118.6,114.7,99.4,138400,138800,138700,138800,88900
Aug 2007,118.1,118.2,120.8,114.5,102,139700,140100,141200,138500,91200
Sep 2007,119,119.2,122.2,114.5,104.6,140800,141300,142800,138500,93500
Oct 2007,120.8,120.9,123.9,116.4,107.3,142900,143300,144800,140900,95900
Nov 2007,122.1,122.3,124.6,118.4,110.1,144500,144900,145700,143300,98400
Dec 2007,123.8,124,126,120.7,112.9,146500,146900,147300,146100,100900
Jan 2008,125.5,125.6,128,122.2,114.1,148500,148800,149600,147900,102000
