Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2005,100,100,100,100,100,100,308100,362600,333500,415500,270700,190500
Feb 2005,101.5,101.3,101.3,101.5,101.7,101.8,312800,367300,337700,421900,275300,194000
Mar 2005,103.1,102.7,102.5,103.3,103.6,103.8,317800,372500,341900,429100,280500,197700
Apr 2005,104.9,104.3,104,104.9,105.4,105.7,323100,378100,346800,435800,285300,201400
May 2005,106.5,105.7,105.5,106.4,107.2,107.7,328100,383400,351800,442100,290200,205100
Jun 2005,108.1,107.3,107.2,107.9,108.5,109.4,333200,389100,357400,448400,293600,208500
Jul 2005,109.9,109,108.8,109.5,110,111.7,338600,395400,362900,455100,297700,212800
Aug 2005,111.7,110.7,110.6,111.1,111.1,113.9,344000,401300,368800,461800,300800,216900
Sep 2005,113.4,112.3,112.2,112.7,112.6,115.9,349500,407200,374300,468400,304700,220800
Oct 2005,114.9,113.7,113.7,114,113.8,117.7,354000,412400,379300,473700,308100,224300
Nov 2005,116.5,115.3,115.3,115.6,114.9,119.9,359000,418200,384600,480300,311000,228500
Dec 2005,118.3,116.9,116.9,117.2,116.1,122.4,364600,424000,390000,487000,314400,233200
Jan 2006,119.9,118.4,118.3,118.7,119,123.6,369400,429400,394600,493100,322200,235400
Feb 2006,121.3,119.6,119.4,120.1,121.3,124.9,373800,433600,398200,499000,328400,237900
Mar 2006,122.8,120.7,120.4,121.6,123.9,126.4,378400,437800,401600,505100,335500,240700
Apr 2006,123.5,121.3,121.2,121.8,124.8,127.3,380400,439700,404100,505900,337800,242600
May 2006,124.2,121.9,121.9,122.1,125.8,128.3,382800,441900,406500,507300,340600,244500
Jun 2006,125,122.5,122.8,122.4,126.3,129.1,385100,444300,409600,508400,341900,246000
Jul 2006,125.3,122.6,122.7,122.8,126.9,129.9,386100,444700,409200,510100,343400,247400
Aug 2006,125.6,122.9,122.8,123.2,127.4,130.3,387100,445700,409400,511800,344900,248300
Sep 2006,125.9,123,122.8,123.6,128.5,130.7,388000,446100,409400,513600,347800,249000
Oct 2006,126.5,123.5,123.4,124,129.1,131.3,389700,447800,411500,515100,349400,250100
Nov 2006,127.2,124.1,124,124.5,130,132.2,392000,449900,413400,517100,351900,251800
Dec 2006,128,124.7,124.8,125.1,130.8,133.4,394500,452300,416100,519700,354100,254100
Jan 2007,129.6,126.5,126.6,126.3,131.8,134.7,399200,458700,422100,524600,356900,256600
Feb 2007,130.9,127.8,128.1,127.4,132.8,136.4,403400,463300,427100,529200,359600,259800
Mar 2007,132.6,129.3,129.8,128.6,133.7,138.1,408500,468900,433000,534300,362000,263100
Apr 2007,133.6,130.3,131,129.7,135.1,139.1,411700,472600,436900,539100,365800,265000
May 2007,134.8,131.6,132,130.9,136.9,139.9,415400,477200,440300,543800,370600,266500
Jun 2007,136,133,133.6,132.3,137.9,140.6,419100,482400,445500,549900,373400,267800
Jul 2007,137.5,134.3,134.9,133.4,138.6,143,423700,487000,449900,554300,375300,272500
Aug 2007,139.1,135.7,136.4,134.5,139.2,145.5,428600,492200,455000,559000,376800,277100
Sep 2007,140.8,137,137.8,135.7,140.6,147.6,433700,496800,459500,563800,380700,281100
Oct 2007,142.2,138.7,139.4,137.8,142,148.8,438200,503100,464800,572500,384400,283500
Nov 2007,144.1,140.6,140.9,140.2,144.3,150.6,443900,509700,470000,582500,390700,286900
Dec 2007,146.3,142.8,142.8,142.8,146.1,152.9,450700,517700,476400,593400,395500,291300
Jan 2008,148.1,143.5,143.8,142.7,147.4,157.3,456300,520200,479600,593000,398900,299700
Feb 2008,148.9,144.3,144.6,143.8,149.9,157.7,458900,523200,482400,597500,405900,300500
