"REF_DATE","GEO","DGUID","Components of population growth","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015/2016","All census metropolitan areas and census agglomerations, Canada","","Births","Both sexes","All ages","Persons","249","units","0","v1078829724","161.1.1.1","319701","","","","0"
"2016/2017","All census metropolitan areas and census agglomerations, Canada","","Births","Both sexes","All ages","Persons","249","units","0","v1078829724","161.1.1.1","316119","","","","0"
"2017/2018","All census metropolitan areas and census agglomerations, Canada","","Births","Both sexes","All ages","Persons","249","units","0","v1078829724","161.1.1.1","313760","","","","0"
"2018/2019","All census metropolitan areas and census agglomerations, Canada","","Births","Both sexes","All ages","Persons","249","units","0","v1078829724","161.1.1.1","310154","","","","0"
"2019/2020","All census metropolitan areas and census agglomerations, Canada","","Births","Both sexes","All ages","Persons","249","units","0","v1078829724","161.1.1.1","312197","","","","0"
"2015/2016","All census metropolitan areas and census agglomerations, Canada","","Deaths","Both sexes","All ages","Persons","249","units","0","v1078829730","161.2.1.1","206944","","","","0"
"2016/2017","All census metropolitan areas and census agglomerations, Canada","","Deaths","Both sexes","All ages","Persons","249","units","0","v1078829730","161.2.1.1","217516","","","","0"
"2017/2018","All census metropolitan areas and census agglomerations, Canada","","Deaths","Both sexes","All ages","Persons","249","units","0","v1078829730","161.2.1.1","225624","","","","0"
"2018/2019","All census metropolitan areas and census agglomerations, Canada","","Deaths","Both sexes","All ages","Persons","249","units","0","v1078829730","161.2.1.1","228547","","","","0"
"2019/2020","All census metropolitan areas and census agglomerations, Canada","","Deaths","Both sexes","All ages","Persons","249","units","0","v1078829730","161.2.1.1","240303","","","","0"
"2015/2016","All census metropolitan areas and census agglomerations, Canada","","Immigrants","Both sexes","All ages","Persons","249","units","0","v1078830063","161.3.1.1","310249","","","","0"
"2016/2017","All census metropolitan areas and census agglomerations, Canada","","Immigrants","Both sexes","All ages","Persons","249","units","0","v1078830063","161.3.1.1","261724","","","","0"
"2017/2018","All census metropolitan areas and census agglomerations, Canada","","Immigrants","Both sexes","All ages","Persons","249","units","0","v1078830063","161.3.1.1","293019","","","","0"
"2018/2019","All census metropolitan areas and census agglomerations, Canada","","Immigrants","Both sexes","All ages","Persons","249","units","0","v1078830063","161.3.1.1","303223","","","","0"
"2019/2020","All census metropolitan areas and census agglomerations, Canada","","Immigrants","Both sexes","All ages","Persons","249","units","0","v1078830063","161.3.1.1","274052","","","","0"
"2015/2016","All census metropolitan areas and census agglomerations, Canada","","Emigrants","Both sexes","All ages","Persons","249","units","0","v1078830396","161.4.1.1","63325","","","","0"
"2016/2017","All census metropolitan areas and census agglomerations, Canada","","Emigrants","Both sexes","All ages","Persons","249","units","0","v1078830396","161.4.1.1","54631","","","","0"
"2017/2018","All census metropolitan areas and census agglomerations, Canada","","Emigrants","Both sexes","All ages","Persons","249","units","0","v1078830396","161.4.1.1","46914","","","","0"
"2018/2019","All census metropolitan areas and census agglomerations, Canada","","Emigrants","Both sexes","All ages","Persons","249","units","0","v1078830396","161.4.1.1","47571","","","","0"
"2019/2020","All census metropolitan areas and census agglomerations, Canada","","Emigrants","Both sexes","All ages","Persons","249","units","0","v1078830396","161.4.1.1","36310","","","","0"
"2015/2016","All census metropolitan areas and census agglomerations, Canada","","Returning emigrants","Both sexes","All ages","Persons","249","units","0","v1078830729","161.5.1.1","37057","","","","0"
"2016/2017","All census metropolitan areas and census agglomerations, Canada","","Returning emigrants","Both sexes","All ages","Persons","249","units","0","v1078830729","161.5.1.1","36804","","","","0"
"2017/2018","All census metropolitan areas and census agglomerations, Canada","","Returning emigrants","Both sexes","All ages","Persons","249","units","0","v1078830729","161.5.1.1","36397","","","","0"
"2018/2019","All census metropolitan areas and census agglomerations, Canada","","Returning emigrants","Both sexes","All ages","Persons","249","units","0","v1078830729","161.5.1.1","37255","","","","0"
"2019/2020","All census metropolitan areas and census agglomerations, Canada","","Returning emigrants","Both sexes","All ages","Persons","249","units","0","v1078830729","161.5.1.1","31687","","","","0"
"2015/2016","All census metropolitan areas and census agglomerations, Canada","","Net temporary emigration","Both sexes","All ages","Persons","249","units","0","v1078831062","161.6.1.1","24962","","","","0"
