"REF_DATE","GEO","DGUID","Interprovincial migrants","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1971/1972","Canada","2016A000011124","In-migrants","Persons","249","units","0","v466500","13.13","395432","","","","0"
"1971/1972","Canada","2016A000011124","Out-migrants","Persons","249","units","0","v466515","13.14","395432","","","","0"
"1971/1972","Newfoundland and Labrador","2016A000210","In-migrants","Persons","249","units","0","v466496","1.13","12391","","","","0"
"1971/1972","Newfoundland and Labrador","2016A000210","Out-migrants","Persons","249","units","0","v466511","1.14","11527","","","","0"
"1971/1972","Newfoundland and Labrador","2016A000210","Net-migration","Persons","249","units","0","v466526","1.15","864","","","","0"
"1971/1972","Prince Edward Island","2016A000211","In-migrants","Persons","249","units","0","v466503","2.13","4316","","","","0"
"1971/1972","Prince Edward Island","2016A000211","Out-migrants","Persons","249","units","0","v466518","2.14","3967","","","","0"
"1971/1972","Prince Edward Island","2016A000211","Net-migration","Persons","249","units","0","v466532","2.15","349","","","","0"
"1971/1972","Nova Scotia","2016A000212","In-migrants","Persons","249","units","0","v466504","3.13","22711","","","","0"
"1971/1972","Nova Scotia","2016A000212","Out-migrants","Persons","249","units","0","v466519","3.14","23297","","","","0"
"1971/1972","Nova Scotia","2016A000212","Net-migration","Persons","249","units","0","v466533","3.15","-586","","","","0"
"1971/1972","New Brunswick","2016A000213","In-migrants","Persons","249","units","0","v466505","4.13","20190","","","","0"
"1971/1972","New Brunswick","2016A000213","Out-migrants","Persons","249","units","0","v466520","4.14","19806","","","","0"
"1971/1972","New Brunswick","2016A000213","Net-migration","Persons","249","units","0","v466534","4.15","384","","","","0"
"1971/1972","Quebec","2016A000224","In-migrants","Persons","249","units","0","v466506","5.13","38011","","","","0"
"1971/1972","Quebec","2016A000224","Out-migrants","Persons","249","units","0","v466521","5.14","59648","","","","0"
"1971/1972","Quebec","2016A000224","Net-migration","Persons","249","units","0","v466535","5.15","-21637","","","","0"
"1971/1972","Ontario","2016A000235","In-migrants","Persons","249","units","0","v466507","6.13","108168","","","","0"
"1971/1972","Ontario","2016A000235","Out-migrants","Persons","249","units","0","v466522","6.14","93706","","","","0"
"1971/1972","Ontario","2016A000235","Net-migration","Persons","249","units","0","v466536","6.15","14462","","","","0"
"1971/1972","Manitoba","2016A000246","In-migrants","Persons","249","units","0","v466508","7.13","26017","","","","0"
"1971/1972","Manitoba","2016A000246","Out-migrants","Persons","249","units","0","v466523","7.14","34897","","","","0"
"1971/1972","Manitoba","2016A000246","Net-migration","Persons","249","units","0","v466537","7.15","-8880","","","","0"
"1971/1972","Saskatchewan","2016A000247","In-migrants","Persons","249","units","0","v466509","8.13","19831","","","","0"
"1971/1972","Saskatchewan","2016A000247","Out-migrants","Persons","249","units","0","v466524","8.14","38826","","","","0"
"1971/1972","Saskatchewan","2016A000247","Net-migration","Persons","249","units","0","v466538","8.15","-18995","","","","0"
"1971/1972","Alberta","2016A000248","In-migrants","Persons","249","units","0","v466510","9.13","61331","","","","0"
"1971/1972","Alberta","2016A000248","Out-migrants","Persons","249","units","0","v466525","9.14","57141","","","","0"
"1971/1972","Alberta","2016A000248","Net-migration","Persons","249","units","0","v466539","9.15","4190","","","","0"
"1971/1972","British Columbia","2016A000259","In-migrants","Persons","249","units","0","v466497","10.13","75424","","","","0"
"1971/1972","British Columbia","2016A000259","Out-migrants","Persons","249","units","0","v466512","10.14","47336","","","","0"
"1971/1972","British Columbia","2016A000259","Net-migration","Persons","249","units","0","v466527","10.15","28088","","","","0"
"1971/1972","Yukon","2016A000260","In-migrants","Persons","249","units","0","v466498","11.13","2746","","","","0"
"1971/1972","Yukon","2016A000260","Out-migrants","Persons","249","units","0","v466513","11.14","2060","","","","0"
"1971/1972","Yukon","2016A000260","Net-migration","Persons","249","units","0","v466528","11.15","686","","","","0"
"1971/1972","Northwest Territories including Nunavut","","In-migrants","Persons","249","units","0","v466499","12.13","4296","","","t","0"
"1971/1972","Northwest Territories including Nunavut","","Out-migrants","Persons","249","units","0","v466514","12.14","3221","","","t","0"
"1971/1972","Northwest Territories including Nunavut","","Net-migration","Persons","249","units","0","v466529","12.15","1075","","","t","0"
"1972/1973","Canada","2016A000011124","In-migrants","Persons","249","units","0","v466500","13.13","396138","","","","0"
"1972/1973","Canada","2016A000011124","Out-migrants","Persons","249","units","0","v466515","13.14","396138","","","","0"
"1972/1973","Newfoundland and Labrador","2016A000210","In-migrants","Persons","249","units","0","v466496","1.13","11822","","","","0"
"1972/1973","Newfoundland and Labrador","2016A000210","Out-migrants","Persons","249","units","0","v466511","1.14","12599","","","","0"
"1972/1973","Newfoundland and Labrador","2016A000210","Net-migration","Persons","249","units","0","v466526","1.15","-777","","","","0"
"1972/1973","Prince Edward Island","2016A000211","In-migrants","Persons","249","units","0","v466503","2.13","4327","","","","0"
"1972/1973","Prince Edward Island","2016A000211","Out-migrants","Persons","249","units","0","v466518","2.14","3545","","","","0"
"1972/1973","Prince Edward Island","2016A000211","Net-migration","Persons","249","units","0","v466532","2.15","782","","","","0"
"1972/1973","Nova Scotia","2016A000212","In-migrants","Persons","249","units","0","v466504","3.13","25225","","","","0"
"1972/1973","Nova Scotia","2016A000212","Out-migrants","Persons","249","units","0","v466519","3.14","20374","","","","0"
"1972/1973","Nova Scotia","2016A000212","Net-migration","Persons","249","units","0","v466533","3.15","4851","","","","0"
"1972/1973","New Brunswick","2016A000213","In-migrants","Persons","249","units","0","v466505","4.13","20689","","","","0"
"1972/1973","New Brunswick","2016A000213","Out-migrants","Persons","249","units","0","v466520","4.14","18587","","","","0"
"1972/1973","New Brunswick","2016A000213","Net-migration","Persons","249","units","0","v466534","4.15","2102","","","","0"
"1972/1973","Quebec","2016A000224","In-migrants","Persons","249","units","0","v466506","5.13","36142","","","","0"
"1972/1973","Quebec","2016A000224","Out-migrants","Persons","249","units","0","v466521","5.14","55896","","","","0"
"1972/1973","Quebec","2016A000224","Net-migration","Persons","249","units","0","v466535","5.15","-19754","","","","0"
"1972/1973","Ontario","2016A000235","In-migrants","Persons","249","units","0","v466507","6.13","97666","","","","0"
"1972/1973","Ontario","2016A000235","Out-migrants","Persons","249","units","0","v466522","6.14","96726","","","","0"
"1972/1973","Ontario","2016A000235","Net-migration","Persons","249","units","0","v466536","6.15","940","","","","0"
"1972/1973","Manitoba","2016A000246","In-migrants","Persons","249","units","0","v466508","7.13","29441","","","","0"
"1972/1973","Manitoba","2016A000246","Out-migrants","Persons","249","units","0","v466523","7.14","34930","","","","0"
"1972/1973","Manitoba","2016A000246","Net-migration","Persons","249","units","0","v466537","7.15","-5489","","","","0"
"1972/1973","Saskatchewan","2016A000247","In-migrants","Persons","249","units","0","v466509","8.13","21167","","","","0"
"1972/1973","Saskatchewan","2016A000247","Out-migrants","Persons","249","units","0","v466524","8.14","37691","","","","0"
"1972/1973","Saskatchewan","2016A000247","Net-migration","Persons","249","units","0","v466538","8.15","-16524","","","","0"
