"Kitchener-Cambridge-Waterloo, Ontario",Composite (house and land),123.4,127.9,133.0,133.3,136.1
"Saint John, Fredericton, and Moncton, New Brunswick",Composite (house and land),114.3,115.8,117.1,117.4,118.4
"St. John's, Newfoundland and Labrador",Composite (house and land),167.9,167.2,166.0,165.0,163.1
"Toronto, Ontario",Composite (house and land),140.5,150.7,158.1,156.1,155.0
"Vancouver, British Columbia",Composite (house and land),116.1,120.6,129.9,131.1,129.0
"Kitchener-Cambridge-Waterloo, Ontario",Composite (house and land),123.4,127.9,133.0,133.3,136.1
"London, Ontario",Composite (house and land),129.9,133.4,142.6,147.6,151.6
"Montréal, Quebec",Composite (house and land),130.6,131.8,133.5,137.0,142.6
"St. Catharines-Niagara, Ontario",Composite (house and land),126.3,133.1,139.3,141.4,142.6
"Québec, Quebec",Composite (house and land),136.8,136.9,137.4,137.9,137.8
"St. John's, Newfoundland and Labrador",Composite (house and land),167.9,167.2,166.0,165.0,163.1
"Victoria, British Columbia",Composite (house and land),90.5,94.7,96.4,97.4,96.3
