"Kitchener-Cambridge-Waterloo, Ontario",House only,128.6,134.2,139.3,139.6,143.6
"Saint John, Fredericton, and Moncton, New Brunswick",House only,112.7,114.3,115.7,116.1,117.2
"St. John's, Newfoundland and Labrador",House only,162.5,161.7,160.2,158.7,156.2
"Toronto, Ontario",House only,154.2,168.1,174.2,170.6,167.9
"Vancouver, British Columbia",House only,116.4,122.4,133.0,134.3,130.7
"Kitchener-Cambridge-Waterloo, Ontario",House only,128.6,134.2,139.3,139.6,143.6
"London, Ontario",House only,137.6,142.1,154.0,160.5,165.7
"Montréal, Quebec",House only,128.4,129.7,131.8,135.8,142.8
"St. Catharines-Niagara, Ontario",House only,127.7,136.7,144.5,146.1,147.2
"Québec, Quebec",House only,120.8,120.9,121.3,121.4,121.3
"St. John's, Newfoundland and Labrador",House only,162.5,161.7,160.2,158.7,156.2
"Victoria, British Columbia",House only,72.6,77.1,78.9,79.9,78.1
