"Kitchener-Cambridge-Waterloo, Ontario",Land only,109.7,111.2,115.1,115.1,115.9
"Saint John, Fredericton, and Moncton, New Brunswick",Land only,119.9,119.9,119.9,119.9,120.4
"St. John's, Newfoundland and Labrador",Land only,180.6,181.2,180.9,181.2,181.1
"Toronto, Ontario",Land only,118.7,124.0,134.0,133.9,134.0
"Vancouver, British Columbia",Land only,112.7,114.0,119.0,119.9,120.2
"Kitchener-Cambridge-Waterloo, Ontario",Land only,109.7,111.2,115.1,115.1,115.9
"London, Ontario",Land only,103.4,104.0,104.8,105.3,106.4
"Montréal, Quebec",Land only,134.5,135.3,136.1,138.0,140.1
"St. Catharines-Niagara, Ontario",Land only,124.0,125.7,129.1,132.1,133.5
"Québec, Quebec",Land only,184.5,184.7,185.8,186.8,187.1
"St. John's, Newfoundland and Labrador",Land only,180.6,181.2,180.9,181.2,181.1
"Victoria, British Columbia",Land only,130.7,131.3,132.0,132.7,133.9
